timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-20T16:57:00Z,e30a4fd0,4a4cffb4,11cdff15,0.0
2025-03-20T17:00:00Z,e30a4fd0,4a4cffb4,11cdff15,1.38
2025-03-20T17:03:00Z,e30a4fd0,4a4cffb4,11cdff15,0.31
2025-03-20T17:06:00Z,e30a4fd0,4a4cffb4,11cdff15,0.1
2025-03-20T17:09:00Z,e30a4fd0,4a4cffb4,11cdff15,0.1
2025-03-20T17:12:00Z,e30a4fd0,4a4cffb4,11cdff15,0.18
2025-03-20T17:15:00Z,e30a4fd0,4a4cffb4,11cdff15,0.12
2025-03-20T17:18:00Z,e30a4fd0,4a4cffb4,11cdff15,0.1
2025-03-20T17:21:00Z,e30a4fd0,4a4cffb4,11cdff15,0.12
2025-03-20T17:24:00Z,e30a4fd0,4a4cffb4,11cdff15,7.46
2025-03-20T17:27:00Z,e30a4fd0,4a4cffb4,11cdff15,7.22
2025-03-20T17:30:00Z,e30a4fd0,4a4cffb4,11cdff15,0.11
2025-03-20T17:33:00Z,e30a4fd0,4a4cffb4,11cdff15,0.36
2025-03-20T17:36:00Z,e30a4fd0,4a4cffb4,11cdff15,3.27
2025-03-20T17:39:00Z,e30a4fd0,4a4cffb4,11cdff15,2.28
2025-03-20T17:42:00Z,e30a4fd0,4a4cffb4,11cdff15,1.79
2025-03-20T17:45:00Z,e30a4fd0,4a4cffb4,11cdff15,1.65
2025-03-20T17:48:00Z,e30a4fd0,4a4cffb4,11cdff15,1.82
2025-03-20T17:51:00Z,e30a4fd0,4a4cffb4,11cdff15,1.79
2025-03-20T17:54:00Z,e30a4fd0,4a4cffb4,11cdff15,2.28
2025-03-20T17:57:00Z,e30a4fd0,4a4cffb4,11cdff15,1.81
2025-03-20T18:00:00Z,e30a4fd0,4a4cffb4,11cdff15,1.53
2025-03-20T18:03:00Z,e30a4fd0,4a4cffb4,11cdff15,1.92
2025-03-20T18:06:00Z,e30a4fd0,4a4cffb4,11cdff15,1.69
2025-03-20T18:09:00Z,e30a4fd0,4a4cffb4,11cdff15,1.79
2025-03-20T18:12:00Z,e30a4fd0,4a4cffb4,11cdff15,1.99
2025-03-20T18:15:00Z,e30a4fd0,4a4cffb4,11cdff15,1.75
2025-03-20T18:18:00Z,e30a4fd0,4a4cffb4,11cdff15,1.7
2025-03-20T18:21:00Z,e30a4fd0,4a4cffb4,11cdff15,1.72
2025-03-20T18:24:00Z,e30a4fd0,4a4cffb4,11cdff15,1.84
2025-03-20T18:27:00Z,e30a4fd0,4a4cffb4,11cdff15,1.72
2025-03-20T18:30:00Z,e30a4fd0,4a4cffb4,11cdff15,1.74
2025-03-20T18:33:00Z,e30a4fd0,4a4cffb4,11cdff15,1.89
2025-03-20T18:36:00Z,e30a4fd0,4a4cffb4,11cdff15,1.99
2025-03-20T18:39:00Z,e30a4fd0,4a4cffb4,11cdff15,1.99
2025-03-20T18:42:00Z,e30a4fd0,4a4cffb4,11cdff15,1.62
2025-03-20T18:45:00Z,e30a4fd0,4a4cffb4,11cdff15,1.93
2025-03-20T18:48:00Z,e30a4fd0,4a4cffb4,11cdff15,1.77
2025-03-20T18:51:00Z,e30a4fd0,4a4cffb4,11cdff15,2.01
2025-03-20T18:54:00Z,e30a4fd0,4a4cffb4,11cdff15,1.85
2025-03-20T18:57:00Z,e30a4fd0,4a4cffb4,11cdff15,1.63
2025-03-20T19:00:00Z,e30a4fd0,4a4cffb4,11cdff15,1.54
2025-03-20T19:03:00Z,e30a4fd0,4a4cffb4,11cdff15,1.75
2025-03-20T19:06:00Z,e30a4fd0,4a4cffb4,11cdff15,1.59
2025-03-20T19:09:00Z,e30a4fd0,4a4cffb4,11cdff15,1.96
2025-03-20T19:12:00Z,e30a4fd0,4a4cffb4,11cdff15,1.84
2025-03-20T19:15:00Z,e30a4fd0,4a4cffb4,11cdff15,1.81
2025-03-20T19:18:00Z,e30a4fd0,4a4cffb4,11cdff15,1.76
2025-03-20T19:21:00Z,e30a4fd0,4a4cffb4,11cdff15,1.95
2025-03-20T19:24:00Z,e30a4fd0,4a4cffb4,11cdff15,1.96
2025-03-20T19:27:00Z,e30a4fd0,4a4cffb4,11cdff15,1.79
2025-03-20T19:30:00Z,e30a4fd0,4a4cffb4,11cdff15,1.91
2025-03-20T19:33:00Z,e30a4fd0,4a4cffb4,11cdff15,1.95
2025-03-20T19:36:00Z,e30a4fd0,4a4cffb4,11cdff15,1.73
2025-03-20T19:39:00Z,e30a4fd0,4a4cffb4,11cdff15,1.79
2025-03-20T19:42:00Z,e30a4fd0,4a4cffb4,11cdff15,1.94
2025-03-20T19:45:00Z,e30a4fd0,4a4cffb4,11cdff15,1.86
2025-03-20T19:48:00Z,e30a4fd0,4a4cffb4,11cdff15,2.12
2025-03-20T19:51:00Z,e30a4fd0,4a4cffb4,11cdff15,2.08
2025-03-20T19:54:00Z,e30a4fd0,4a4cffb4,11cdff15,1.97
2025-03-20T19:57:00Z,e30a4fd0,4a4cffb4,11cdff15,1.73
2025-03-20T20:00:00Z,e30a4fd0,4a4cffb4,11cdff15,1.83
2025-03-20T20:03:00Z,e30a4fd0,4a4cffb4,11cdff15,2.03
2025-03-20T20:06:00Z,e30a4fd0,4a4cffb4,11cdff15,0.44
2025-03-20T20:09:00Z,e30a4fd0,4a4cffb4,11cdff15,0.05
2025-03-20T20:12:00Z,e30a4fd0,4a4cffb4,11cdff15,0.05
2025-03-20T20:15:00Z,e30a4fd0,4a4cffb4,11cdff15,0.05
