timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:12:00Z,15497bd1,79b5307d,11cdff15,0.55
2025-01-16T08:15:00Z,15497bd1,79b5307d,11cdff15,0.61
2025-01-16T08:18:00Z,15497bd1,79b5307d,11cdff15,0.55
2025-01-16T08:21:00Z,15497bd1,79b5307d,11cdff15,0.5
2025-01-16T08:24:00Z,15497bd1,79b5307d,11cdff15,0.56
2025-01-16T08:27:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T08:30:00Z,15497bd1,79b5307d,11cdff15,0.49
2025-01-16T08:33:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T08:36:00Z,15497bd1,79b5307d,11cdff15,0.5
2025-01-16T08:39:00Z,15497bd1,79b5307d,11cdff15,0.47
2025-01-16T08:42:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T08:45:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T08:48:00Z,15497bd1,79b5307d,11cdff15,0.49
2025-01-16T08:51:00Z,15497bd1,79b5307d,11cdff15,0.49
2025-01-16T08:54:00Z,15497bd1,79b5307d,11cdff15,0.53
2025-01-16T08:57:00Z,15497bd1,79b5307d,11cdff15,0.52
2025-01-16T09:00:00Z,15497bd1,79b5307d,11cdff15,0.49
2025-01-16T09:03:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T09:06:00Z,15497bd1,79b5307d,11cdff15,0.53
2025-01-16T09:09:00Z,15497bd1,79b5307d,11cdff15,0.46
2025-01-16T09:12:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T09:15:00Z,15497bd1,79b5307d,11cdff15,0.52
2025-01-16T09:18:00Z,15497bd1,79b5307d,11cdff15,0.46
2025-01-16T09:21:00Z,15497bd1,79b5307d,11cdff15,0.46
2025-01-16T09:24:00Z,15497bd1,79b5307d,11cdff15,0.53
2025-01-16T09:27:00Z,15497bd1,79b5307d,11cdff15,0.47
2025-01-16T09:30:00Z,15497bd1,79b5307d,11cdff15,0.45
2025-01-16T09:33:00Z,15497bd1,79b5307d,11cdff15,0.55
2025-01-16T09:36:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T09:39:00Z,15497bd1,79b5307d,11cdff15,0.49
2025-01-16T09:42:00Z,15497bd1,79b5307d,11cdff15,0.52
2025-01-16T09:45:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T09:48:00Z,15497bd1,79b5307d,11cdff15,0.45
2025-01-16T09:51:00Z,15497bd1,79b5307d,11cdff15,0.45
2025-01-16T09:54:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T09:57:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T10:00:00Z,15497bd1,79b5307d,11cdff15,0.48
2025-01-16T10:03:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T10:06:00Z,15497bd1,79b5307d,11cdff15,0.5
2025-01-16T10:09:00Z,15497bd1,79b5307d,11cdff15,0.47
2025-01-16T10:12:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T10:15:00Z,15497bd1,79b5307d,11cdff15,0.55
2025-01-16T10:18:00Z,15497bd1,79b5307d,11cdff15,0.52
2025-01-16T10:21:00Z,15497bd1,79b5307d,11cdff15,0.52
2025-01-16T10:24:00Z,15497bd1,79b5307d,11cdff15,0.55
2025-01-16T10:27:00Z,15497bd1,79b5307d,11cdff15,0.57
2025-01-16T10:30:00Z,15497bd1,79b5307d,11cdff15,0.56
2025-01-16T10:33:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T10:36:00Z,15497bd1,79b5307d,11cdff15,0.57
2025-01-16T10:39:00Z,15497bd1,79b5307d,11cdff15,0.53
2025-01-16T10:42:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T10:45:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T10:48:00Z,15497bd1,79b5307d,11cdff15,0.54
2025-01-16T10:51:00Z,15497bd1,79b5307d,11cdff15,0.5
2025-01-16T10:54:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T10:57:00Z,15497bd1,79b5307d,11cdff15,0.59
2025-01-16T11:00:00Z,15497bd1,79b5307d,11cdff15,1.06
2025-01-16T11:03:00Z,15497bd1,79b5307d,11cdff15,1.71
2025-01-16T11:06:00Z,15497bd1,79b5307d,11cdff15,1.79
2025-01-16T11:09:00Z,15497bd1,79b5307d,11cdff15,1.76
2025-01-16T11:12:00Z,15497bd1,79b5307d,11cdff15,1.85
2025-01-16T11:15:00Z,15497bd1,79b5307d,11cdff15,1.75
2025-01-16T11:18:00Z,15497bd1,79b5307d,11cdff15,1.79
2025-01-16T11:21:00Z,15497bd1,79b5307d,11cdff15,1.93
2025-01-16T11:24:00Z,15497bd1,79b5307d,11cdff15,0.51
2025-01-16T11:27:00Z,15497bd1,79b5307d,11cdff15,0.59
2025-01-16T11:30:00Z,15497bd1,79b5307d,11cdff15,0.48
2025-01-16T11:33:00Z,15497bd1,79b5307d,11cdff15,0.47
