timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-16T17:36:00Z,1e2ab024,a2f271b4,11cdff15,0.61
2025-03-16T17:39:00Z,1e2ab024,a2f271b4,11cdff15,0.05
2025-03-16T17:42:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T17:45:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T17:48:00Z,1e2ab024,a2f271b4,11cdff15,0.05
2025-03-16T17:51:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T17:54:00Z,1e2ab024,a2f271b4,11cdff15,0.05
2025-03-16T17:57:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:00:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:03:00Z,1e2ab024,a2f271b4,11cdff15,0.07
2025-03-16T18:06:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:09:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:12:00Z,1e2ab024,a2f271b4,11cdff15,0.05
2025-03-16T18:15:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:18:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:21:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:24:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:27:00Z,1e2ab024,a2f271b4,11cdff15,0.19
2025-03-16T18:30:00Z,1e2ab024,a2f271b4,11cdff15,0.46
2025-03-16T18:33:00Z,1e2ab024,a2f271b4,11cdff15,1.87
2025-03-16T18:36:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:39:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:42:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:45:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:48:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T18:51:00Z,1e2ab024,a2f271b4,11cdff15,0.07
2025-03-16T18:54:00Z,1e2ab024,a2f271b4,11cdff15,0.13
2025-03-16T18:57:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T19:00:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T19:03:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T19:06:00Z,1e2ab024,a2f271b4,11cdff15,0.11
2025-03-16T19:09:00Z,1e2ab024,a2f271b4,11cdff15,0.08
2025-03-16T19:12:00Z,1e2ab024,a2f271b4,11cdff15,0.08
2025-03-16T19:15:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T19:18:00Z,1e2ab024,a2f271b4,11cdff15,0.07
2025-03-16T19:21:00Z,1e2ab024,a2f271b4,11cdff15,0.24
2025-03-16T19:24:00Z,1e2ab024,a2f271b4,11cdff15,0.14
2025-03-16T19:27:00Z,1e2ab024,a2f271b4,11cdff15,1.49
2025-03-16T19:30:00Z,1e2ab024,a2f271b4,11cdff15,1.69
2025-03-16T19:33:00Z,1e2ab024,a2f271b4,11cdff15,1.4
2025-03-16T19:36:00Z,1e2ab024,a2f271b4,11cdff15,0.9
2025-03-16T19:39:00Z,1e2ab024,a2f271b4,11cdff15,0.11
2025-03-16T19:42:00Z,1e2ab024,a2f271b4,11cdff15,0.06
2025-03-16T19:45:00Z,1e2ab024,a2f271b4,11cdff15,0.6
2025-03-16T19:48:00Z,1e2ab024,a2f271b4,11cdff15,0.98
