timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-07T16:39:00Z,0c20a1d5,1125a01c,a6177608,1.61
2025-02-07T16:42:00Z,0c20a1d5,1125a01c,a6177608,4.02
2025-02-07T16:45:00Z,0c20a1d5,1125a01c,a6177608,0.17
2025-02-07T16:48:00Z,0c20a1d5,1125a01c,a6177608,0.04
2025-02-07T16:51:00Z,0c20a1d5,1125a01c,a6177608,0.04
2025-02-07T16:54:00Z,0c20a1d5,1125a01c,a6177608,0.06
2025-02-07T16:57:00Z,0c20a1d5,1125a01c,a6177608,0.07
2025-02-07T17:00:00Z,0c20a1d5,1125a01c,a6177608,0.06
2025-02-07T17:03:00Z,0c20a1d5,1125a01c,a6177608,0.06
2025-02-07T17:06:00Z,0c20a1d5,1125a01c,a6177608,0.06
2025-02-07T17:09:00Z,0c20a1d5,1125a01c,a6177608,0.06
