timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-20T09:15:00Z,821a2205,46de937b,a6177608,523.97
2025-01-20T09:18:00Z,821a2205,46de937b,a6177608,525.07
2025-01-20T09:21:00Z,821a2205,46de937b,a6177608,518.57
2025-01-20T09:24:00Z,821a2205,46de937b,a6177608,506.42
2025-01-20T09:27:00Z,821a2205,46de937b,a6177608,416.45
2025-01-20T09:30:00Z,821a2205,46de937b,a6177608,509.98
2025-01-20T09:33:00Z,821a2205,46de937b,a6177608,500.45
2025-01-20T09:36:00Z,821a2205,46de937b,a6177608,443.02
2025-01-20T09:39:00Z,821a2205,46de937b,a6177608,525.73
2025-01-20T09:42:00Z,821a2205,46de937b,a6177608,525.69
2025-01-20T09:45:00Z,821a2205,46de937b,a6177608,524.83
2025-01-20T09:48:00Z,821a2205,46de937b,a6177608,525.15
2025-01-20T09:51:00Z,821a2205,46de937b,a6177608,526.1
2025-01-20T09:54:00Z,821a2205,46de937b,a6177608,522.23
2025-01-20T09:57:00Z,821a2205,46de937b,a6177608,511.59
2025-01-20T10:00:00Z,821a2205,46de937b,a6177608,502.18
2025-01-20T10:03:00Z,821a2205,46de937b,a6177608,440.98
2025-01-20T10:06:00Z,821a2205,46de937b,a6177608,510.67
2025-01-20T10:09:00Z,821a2205,46de937b,a6177608,457.31
2025-01-20T10:12:00Z,821a2205,46de937b,a6177608,413.77
2025-01-20T10:15:00Z,821a2205,46de937b,a6177608,525.83
2025-01-20T10:18:00Z,821a2205,46de937b,a6177608,525.87
2025-01-20T10:21:00Z,821a2205,46de937b,a6177608,526.04
2025-01-20T10:24:00Z,821a2205,46de937b,a6177608,526.08
2025-01-20T10:27:00Z,821a2205,46de937b,a6177608,522.29
2025-01-20T10:30:00Z,821a2205,46de937b,a6177608,511.77
2025-01-20T10:33:00Z,821a2205,46de937b,a6177608,500.02
2025-01-20T10:36:00Z,821a2205,46de937b,a6177608,445.49
2025-01-20T10:39:00Z,821a2205,46de937b,a6177608,511.69
2025-01-20T10:42:00Z,821a2205,46de937b,a6177608,489.39
2025-01-20T10:45:00Z,821a2205,46de937b,a6177608,467.66
2025-01-20T10:48:00Z,821a2205,46de937b,a6177608,525.24
2025-01-20T10:51:00Z,821a2205,46de937b,a6177608,526.09
2025-01-20T10:54:00Z,821a2205,46de937b,a6177608,524.78
2025-01-20T10:57:00Z,821a2205,46de937b,a6177608,526.06
2025-01-20T11:00:00Z,821a2205,46de937b,a6177608,526.01
2025-01-20T11:03:00Z,821a2205,46de937b,a6177608,524.41
2025-01-20T11:06:00Z,821a2205,46de937b,a6177608,513.84
2025-01-20T11:09:00Z,821a2205,46de937b,a6177608,510.44
2025-01-20T11:12:00Z,821a2205,46de937b,a6177608,450.07
2025-01-20T11:15:00Z,821a2205,46de937b,a6177608,480.78
2025-01-20T11:18:00Z,821a2205,46de937b,a6177608,496.63
2025-01-20T11:21:00Z,821a2205,46de937b,a6177608,421.77
2025-01-20T11:24:00Z,821a2205,46de937b,a6177608,490.81
2025-01-20T11:27:00Z,821a2205,46de937b,a6177608,423.29
2025-01-20T11:30:00Z,821a2205,46de937b,a6177608,494.97
2025-01-20T11:33:00Z,821a2205,46de937b,a6177608,487.91
2025-01-20T11:36:00Z,821a2205,46de937b,a6177608,513.06
2025-01-20T11:39:00Z,821a2205,46de937b,a6177608,514.22
2025-01-20T11:42:00Z,821a2205,46de937b,a6177608,501.58
2025-01-20T11:45:00Z,821a2205,46de937b,a6177608,504.79
2025-01-20T11:48:00Z,821a2205,46de937b,a6177608,442.96
2025-01-20T11:51:00Z,821a2205,46de937b,a6177608,415.99
2025-01-20T11:54:00Z,821a2205,46de937b,a6177608,351.61
2025-01-20T11:57:00Z,821a2205,46de937b,a6177608,524.5
2025-01-20T12:00:00Z,821a2205,46de937b,a6177608,525.67
2025-01-20T12:03:00Z,821a2205,46de937b,a6177608,525.68
2025-01-20T12:06:00Z,821a2205,46de937b,a6177608,525.9
2025-01-20T12:09:00Z,821a2205,46de937b,a6177608,525.39
2025-01-20T12:12:00Z,821a2205,46de937b,a6177608,524.76
2025-01-20T12:15:00Z,821a2205,46de937b,a6177608,525.54
