timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-18T10:00:00Z,c48a44a4,4786760b,a6177608,2.68
2025-02-18T10:03:00Z,c48a44a4,4786760b,a6177608,1.98
2025-02-18T10:06:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T10:09:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T10:12:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T10:15:00Z,c48a44a4,4786760b,a6177608,0.06
2025-02-18T10:18:00Z,c48a44a4,4786760b,a6177608,0.08
2025-02-18T10:21:00Z,c48a44a4,4786760b,a6177608,0.04
2025-02-18T10:24:00Z,c48a44a4,4786760b,a6177608,2.38
2025-02-18T10:27:00Z,c48a44a4,4786760b,a6177608,0.61
2025-02-18T10:30:00Z,c48a44a4,4786760b,a6177608,0.07
2025-02-18T10:33:00Z,c48a44a4,4786760b,a6177608,0.08
2025-02-18T10:36:00Z,c48a44a4,4786760b,a6177608,0.04
2025-02-18T10:39:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T10:42:00Z,c48a44a4,4786760b,a6177608,0.04
2025-02-18T10:45:00Z,c48a44a4,4786760b,a6177608,0.06
2025-02-18T10:48:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T10:51:00Z,c48a44a4,4786760b,a6177608,1.44
2025-02-18T10:54:00Z,c48a44a4,4786760b,a6177608,0.27
2025-02-18T10:57:00Z,c48a44a4,4786760b,a6177608,0.06
2025-02-18T11:00:00Z,c48a44a4,4786760b,a6177608,0.09
2025-02-18T11:03:00Z,c48a44a4,4786760b,a6177608,0.07
2025-02-18T11:06:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T11:09:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T11:12:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T11:15:00Z,c48a44a4,4786760b,a6177608,0.08
2025-02-18T11:18:00Z,c48a44a4,4786760b,a6177608,1.52
2025-02-18T11:21:00Z,c48a44a4,4786760b,a6177608,0.15
2025-02-18T11:24:00Z,c48a44a4,4786760b,a6177608,0.06
2025-02-18T11:27:00Z,c48a44a4,4786760b,a6177608,0.05
2025-02-18T11:30:00Z,c48a44a4,4786760b,a6177608,0.08
2025-02-18T11:33:00Z,c48a44a4,4786760b,a6177608,70.97
2025-02-18T11:36:00Z,c48a44a4,4786760b,a6177608,153.7
2025-02-18T11:39:00Z,c48a44a4,4786760b,a6177608,166.05
2025-02-18T11:42:00Z,c48a44a4,4786760b,a6177608,178.46
2025-02-18T11:45:00Z,c48a44a4,4786760b,a6177608,176.92
2025-02-18T11:48:00Z,c48a44a4,4786760b,a6177608,186.5
2025-02-18T11:51:00Z,c48a44a4,4786760b,a6177608,184.41
2025-02-18T11:54:00Z,c48a44a4,4786760b,a6177608,170.06
2025-02-18T11:57:00Z,c48a44a4,4786760b,a6177608,178.85
2025-02-18T12:00:00Z,c48a44a4,4786760b,a6177608,174.61
2025-02-18T12:03:00Z,c48a44a4,4786760b,a6177608,175.86
2025-02-18T12:06:00Z,c48a44a4,4786760b,a6177608,181.73
2025-02-18T12:09:00Z,c48a44a4,4786760b,a6177608,187.27
2025-02-18T12:12:00Z,c48a44a4,4786760b,a6177608,188.99
2025-02-18T12:15:00Z,c48a44a4,4786760b,a6177608,196.26
2025-02-18T12:18:00Z,c48a44a4,4786760b,a6177608,200.38
2025-02-18T12:21:00Z,c48a44a4,4786760b,a6177608,191.16
2025-02-18T12:24:00Z,c48a44a4,4786760b,a6177608,191.36
2025-02-18T12:27:00Z,c48a44a4,4786760b,a6177608,189.53
2025-02-18T12:30:00Z,c48a44a4,4786760b,a6177608,189.5
2025-02-18T12:33:00Z,c48a44a4,4786760b,a6177608,187.24
2025-02-18T12:36:00Z,c48a44a4,4786760b,a6177608,177.09
2025-02-18T12:39:00Z,c48a44a4,4786760b,a6177608,167.02
2025-02-18T12:42:00Z,c48a44a4,4786760b,a6177608,162.11
2025-02-18T12:45:00Z,c48a44a4,4786760b,a6177608,166.48
2025-02-18T12:48:00Z,c48a44a4,4786760b,a6177608,162.42
2025-02-18T12:51:00Z,c48a44a4,4786760b,a6177608,164.34
2025-02-18T12:54:00Z,c48a44a4,4786760b,a6177608,163.67
2025-02-18T12:57:00Z,c48a44a4,4786760b,a6177608,160.51
2025-02-18T13:00:00Z,c48a44a4,4786760b,a6177608,157.12
2025-02-18T13:03:00Z,c48a44a4,4786760b,a6177608,157.06
2025-02-18T13:06:00Z,c48a44a4,4786760b,a6177608,153.35
2025-02-18T13:09:00Z,c48a44a4,4786760b,a6177608,153.56
2025-02-18T13:12:00Z,c48a44a4,4786760b,a6177608,152.73
2025-02-18T13:15:00Z,c48a44a4,4786760b,a6177608,151.06
2025-02-18T13:18:00Z,c48a44a4,4786760b,a6177608,152.77
2025-02-18T13:21:00Z,c48a44a4,4786760b,a6177608,157.14
2025-02-18T13:24:00Z,c48a44a4,4786760b,a6177608,158.15
2025-02-18T13:27:00Z,c48a44a4,4786760b,a6177608,155.49
2025-02-18T13:30:00Z,c48a44a4,4786760b,a6177608,152.31
2025-02-18T13:33:00Z,c48a44a4,4786760b,a6177608,157.94
2025-02-18T13:36:00Z,c48a44a4,4786760b,a6177608,154.66
2025-02-18T13:39:00Z,c48a44a4,4786760b,a6177608,156.81
2025-02-18T13:42:00Z,c48a44a4,4786760b,a6177608,156.24
2025-02-18T13:45:00Z,c48a44a4,4786760b,a6177608,165.64
2025-02-18T13:48:00Z,c48a44a4,4786760b,a6177608,166.91
2025-02-18T13:51:00Z,c48a44a4,4786760b,a6177608,163.56
2025-02-18T13:54:00Z,c48a44a4,4786760b,a6177608,170.77
2025-02-18T13:57:00Z,c48a44a4,4786760b,a6177608,171.92
2025-02-18T14:00:00Z,c48a44a4,4786760b,a6177608,168.26
2025-02-18T14:03:00Z,c48a44a4,4786760b,a6177608,169.95
2025-02-18T14:06:00Z,c48a44a4,4786760b,a6177608,165.39
2025-02-18T14:09:00Z,c48a44a4,4786760b,a6177608,146.53
2025-02-18T14:12:00Z,c48a44a4,4786760b,a6177608,135.02
2025-02-18T14:15:00Z,c48a44a4,4786760b,a6177608,130.53
2025-02-18T14:18:00Z,c48a44a4,4786760b,a6177608,122.77
2025-02-18T14:21:00Z,c48a44a4,4786760b,a6177608,138.64
2025-02-18T14:24:00Z,c48a44a4,4786760b,a6177608,133.46
2025-02-18T14:27:00Z,c48a44a4,4786760b,a6177608,128.39
