timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-12T13:21:00Z,ec324710,4786760b,a6177608,2.18
2025-02-12T13:24:00Z,ec324710,4786760b,a6177608,0.07
2025-02-12T13:27:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:30:00Z,ec324710,4786760b,a6177608,0.07
2025-02-12T13:33:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:36:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:39:00Z,ec324710,4786760b,a6177608,0.04
2025-02-12T13:42:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:45:00Z,ec324710,4786760b,a6177608,0.04
2025-02-12T13:48:00Z,ec324710,4786760b,a6177608,0.19
2025-02-12T13:51:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:54:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T13:57:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:00:00Z,ec324710,4786760b,a6177608,0.07
2025-02-12T14:03:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:06:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:09:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:12:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:15:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:18:00Z,ec324710,4786760b,a6177608,0.06
2025-02-12T14:21:00Z,ec324710,4786760b,a6177608,2.25
2025-02-12T14:24:00Z,ec324710,4786760b,a6177608,1.07
2025-02-12T14:27:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:30:00Z,ec324710,4786760b,a6177608,0.07
2025-02-12T14:33:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:36:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:39:00Z,ec324710,4786760b,a6177608,0.06
2025-02-12T14:42:00Z,ec324710,4786760b,a6177608,0.04
2025-02-12T14:45:00Z,ec324710,4786760b,a6177608,0.06
2025-02-12T14:48:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:51:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T14:54:00Z,ec324710,4786760b,a6177608,0.06
2025-02-12T14:57:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T15:00:00Z,ec324710,4786760b,a6177608,0.26
2025-02-12T15:03:00Z,ec324710,4786760b,a6177608,0.06
2025-02-12T15:06:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T15:09:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T15:12:00Z,ec324710,4786760b,a6177608,0.05
2025-02-12T15:15:00Z,ec324710,4786760b,a6177608,0.07
2025-02-12T15:18:00Z,ec324710,4786760b,a6177608,0.06
