timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:18:00Z,b3382983,5433c3e6,a6177608,507.45
2025-01-16T08:21:00Z,b3382983,5433c3e6,a6177608,490.71
2025-01-16T08:24:00Z,b3382983,5433c3e6,a6177608,413.74
2025-01-16T08:27:00Z,b3382983,5433c3e6,a6177608,506.9
2025-01-16T08:30:00Z,b3382983,5433c3e6,a6177608,447.85
2025-01-16T08:33:00Z,b3382983,5433c3e6,a6177608,492.27
2025-01-16T08:36:00Z,b3382983,5433c3e6,a6177608,522.88
2025-01-16T08:39:00Z,b3382983,5433c3e6,a6177608,522.58
2025-01-16T08:42:00Z,b3382983,5433c3e6,a6177608,522.3
2025-01-16T08:45:00Z,b3382983,5433c3e6,a6177608,523.08
2025-01-16T08:48:00Z,b3382983,5433c3e6,a6177608,523.18
2025-01-16T08:51:00Z,b3382983,5433c3e6,a6177608,513.36
2025-01-16T08:54:00Z,b3382983,5433c3e6,a6177608,507.48
2025-01-16T08:57:00Z,b3382983,5433c3e6,a6177608,450.33
2025-01-16T09:00:00Z,b3382983,5433c3e6,a6177608,516.54
2025-01-16T09:03:00Z,b3382983,5433c3e6,a6177608,508.34
2025-01-16T09:06:00Z,b3382983,5433c3e6,a6177608,505.11
2025-01-16T09:09:00Z,b3382983,5433c3e6,a6177608,359.03
2025-01-16T09:12:00Z,b3382983,5433c3e6,a6177608,519.56
2025-01-16T09:15:00Z,b3382983,5433c3e6,a6177608,519.5
2025-01-16T09:18:00Z,b3382983,5433c3e6,a6177608,519.22
2025-01-16T09:21:00Z,b3382983,5433c3e6,a6177608,519.31
2025-01-16T09:24:00Z,b3382983,5433c3e6,a6177608,519.38
2025-01-16T09:27:00Z,b3382983,5433c3e6,a6177608,475.82
2025-01-16T09:30:00Z,b3382983,5433c3e6,a6177608,501.75
2025-01-16T09:33:00Z,b3382983,5433c3e6,a6177608,402.81
2025-01-16T09:36:00Z,b3382983,5433c3e6,a6177608,500.32
2025-01-16T09:39:00Z,b3382983,5433c3e6,a6177608,458.43
2025-01-16T09:42:00Z,b3382983,5433c3e6,a6177608,481.95
2025-01-16T09:45:00Z,b3382983,5433c3e6,a6177608,519.72
2025-01-16T09:48:00Z,b3382983,5433c3e6,a6177608,519.4
2025-01-16T09:51:00Z,b3382983,5433c3e6,a6177608,519.27
2025-01-16T09:54:00Z,b3382983,5433c3e6,a6177608,519.62
2025-01-16T09:57:00Z,b3382983,5433c3e6,a6177608,519.01
2025-01-16T10:00:00Z,b3382983,5433c3e6,a6177608,508.06
2025-01-16T10:03:00Z,b3382983,5433c3e6,a6177608,499.68
2025-01-16T10:06:00Z,b3382983,5433c3e6,a6177608,421.99
2025-01-16T10:09:00Z,b3382983,5433c3e6,a6177608,509.23
2025-01-16T10:12:00Z,b3382983,5433c3e6,a6177608,506.31
2025-01-16T10:15:00Z,b3382983,5433c3e6,a6177608,347.77
2025-01-16T10:18:00Z,b3382983,5433c3e6,a6177608,262.41
2025-01-16T10:21:00Z,b3382983,5433c3e6,a6177608,262.3
2025-01-16T10:24:00Z,b3382983,5433c3e6,a6177608,252.03
2025-01-16T10:27:00Z,b3382983,5433c3e6,a6177608,134.3
2025-01-16T10:30:00Z,b3382983,5433c3e6,a6177608,182.33
2025-01-16T10:33:00Z,b3382983,5433c3e6,a6177608,480.04
2025-01-16T10:36:00Z,b3382983,5433c3e6,a6177608,482.17
2025-01-16T10:39:00Z,b3382983,5433c3e6,a6177608,481.98
2025-01-16T10:42:00Z,b3382983,5433c3e6,a6177608,482.56
2025-01-16T10:45:00Z,b3382983,5433c3e6,a6177608,482.53
2025-01-16T10:48:00Z,b3382983,5433c3e6,a6177608,482.99
2025-01-16T10:51:00Z,b3382983,5433c3e6,a6177608,481.49
2025-01-16T10:54:00Z,b3382983,5433c3e6,a6177608,481.98
2025-01-16T10:57:00Z,b3382983,5433c3e6,a6177608,482.61
2025-01-16T11:00:00Z,b3382983,5433c3e6,a6177608,482.68
2025-01-16T11:03:00Z,b3382983,5433c3e6,a6177608,482.35
2025-01-16T11:06:00Z,b3382983,5433c3e6,a6177608,482.17
2025-01-16T11:09:00Z,b3382983,5433c3e6,a6177608,482.42
2025-01-16T11:12:00Z,b3382983,5433c3e6,a6177608,482.55
2025-01-16T11:15:00Z,b3382983,5433c3e6,a6177608,482.61
2025-01-16T11:18:00Z,b3382983,5433c3e6,a6177608,482.4
2025-01-16T11:21:00Z,b3382983,5433c3e6,a6177608,481.96
2025-01-16T11:24:00Z,b3382983,5433c3e6,a6177608,482.3
2025-01-16T11:27:00Z,b3382983,5433c3e6,a6177608,481.64
2025-01-16T11:30:00Z,b3382983,5433c3e6,a6177608,481.94
2025-01-16T11:33:00Z,b3382983,5433c3e6,a6177608,481.74
2025-01-16T11:36:00Z,b3382983,5433c3e6,a6177608,481.76
2025-01-16T11:39:00Z,b3382983,5433c3e6,a6177608,482.03
2025-01-16T11:42:00Z,b3382983,5433c3e6,a6177608,482.55
2025-01-16T11:45:00Z,b3382983,5433c3e6,a6177608,482.98
2025-01-16T11:48:00Z,b3382983,5433c3e6,a6177608,482.67
2025-01-16T11:51:00Z,b3382983,5433c3e6,a6177608,483.13
2025-01-16T11:54:00Z,b3382983,5433c3e6,a6177608,483.0
2025-01-16T11:57:00Z,b3382983,5433c3e6,a6177608,482.49
2025-01-16T12:00:00Z,b3382983,5433c3e6,a6177608,482.42
2025-01-16T12:03:00Z,b3382983,5433c3e6,a6177608,481.5
2025-01-16T12:06:00Z,b3382983,5433c3e6,a6177608,482.67
2025-01-16T12:09:00Z,b3382983,5433c3e6,a6177608,482.91
2025-01-16T12:12:00Z,b3382983,5433c3e6,a6177608,482.35
2025-01-16T12:15:00Z,b3382983,5433c3e6,a6177608,481.88
2025-01-16T12:18:00Z,b3382983,5433c3e6,a6177608,480.64
2025-01-16T12:21:00Z,b3382983,5433c3e6,a6177608,482.61
2025-01-16T12:24:00Z,b3382983,5433c3e6,a6177608,482.58
2025-01-16T12:27:00Z,b3382983,5433c3e6,a6177608,482.44
2025-01-16T12:30:00Z,b3382983,5433c3e6,a6177608,482.21
2025-01-16T12:33:00Z,b3382983,5433c3e6,a6177608,481.85
2025-01-16T12:36:00Z,b3382983,5433c3e6,a6177608,482.65
2025-01-16T12:39:00Z,b3382983,5433c3e6,a6177608,482.71
2025-01-16T12:42:00Z,b3382983,5433c3e6,a6177608,482.39
2025-01-16T12:45:00Z,b3382983,5433c3e6,a6177608,482.81
2025-01-16T12:48:00Z,b3382983,5433c3e6,a6177608,482.66
2025-01-16T12:51:00Z,b3382983,5433c3e6,a6177608,482.65
2025-01-16T12:54:00Z,b3382983,5433c3e6,a6177608,482.65
2025-01-16T12:57:00Z,b3382983,5433c3e6,a6177608,482.72
2025-01-16T13:00:00Z,b3382983,5433c3e6,a6177608,482.43
2025-01-16T13:03:00Z,b3382983,5433c3e6,a6177608,482.65
2025-01-16T13:06:00Z,b3382983,5433c3e6,a6177608,482.8
2025-01-16T13:09:00Z,b3382983,5433c3e6,a6177608,482.67
2025-01-16T13:12:00Z,b3382983,5433c3e6,a6177608,482.77
2025-01-16T13:15:00Z,b3382983,5433c3e6,a6177608,482.58
2025-01-16T13:18:00Z,b3382983,5433c3e6,a6177608,482.64
2025-01-16T13:21:00Z,b3382983,5433c3e6,a6177608,482.52
2025-01-16T13:24:00Z,b3382983,5433c3e6,a6177608,481.42
2025-01-16T13:27:00Z,b3382983,5433c3e6,a6177608,481.91
2025-01-16T13:30:00Z,b3382983,5433c3e6,a6177608,481.45
2025-01-16T13:33:00Z,b3382983,5433c3e6,a6177608,481.45
2025-01-16T13:36:00Z,b3382983,5433c3e6,a6177608,481.54
2025-01-16T13:39:00Z,b3382983,5433c3e6,a6177608,481.92
2025-01-16T13:42:00Z,b3382983,5433c3e6,a6177608,481.84
2025-01-16T13:45:00Z,b3382983,5433c3e6,a6177608,482.07
2025-01-16T13:48:00Z,b3382983,5433c3e6,a6177608,482.57
2025-01-16T13:51:00Z,b3382983,5433c3e6,a6177608,482.28
2025-01-16T13:54:00Z,b3382983,5433c3e6,a6177608,482.5
2025-01-16T13:57:00Z,b3382983,5433c3e6,a6177608,482.14
