timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-29T10:33:00Z,0d8c9a5d,54c3811d,a6177608,6.22
2025-01-29T10:36:00Z,0d8c9a5d,54c3811d,a6177608,2.88
2025-01-29T10:39:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T10:42:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T10:45:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T10:48:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T10:51:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T10:54:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T10:57:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:00:00Z,0d8c9a5d,54c3811d,a6177608,0.05
2025-01-29T11:03:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T11:06:00Z,0d8c9a5d,54c3811d,a6177608,0.06
2025-01-29T11:09:00Z,0d8c9a5d,54c3811d,a6177608,0.08
2025-01-29T11:12:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T11:15:00Z,0d8c9a5d,54c3811d,a6177608,0.03
2025-01-29T11:18:00Z,0d8c9a5d,54c3811d,a6177608,0.59
2025-01-29T11:21:00Z,0d8c9a5d,54c3811d,a6177608,2.42
2025-01-29T11:24:00Z,0d8c9a5d,54c3811d,a6177608,0.06
2025-01-29T11:27:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:30:00Z,0d8c9a5d,54c3811d,a6177608,0.07
2025-01-29T11:33:00Z,0d8c9a5d,54c3811d,a6177608,0.12
2025-01-29T11:36:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:39:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:42:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:45:00Z,0d8c9a5d,54c3811d,a6177608,0.07
2025-01-29T11:48:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T11:51:00Z,0d8c9a5d,54c3811d,a6177608,0.05
2025-01-29T11:54:00Z,0d8c9a5d,54c3811d,a6177608,1.02
2025-01-29T11:57:00Z,0d8c9a5d,54c3811d,a6177608,0.12
2025-01-29T12:00:00Z,0d8c9a5d,54c3811d,a6177608,0.05
2025-01-29T12:03:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T12:06:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T12:09:00Z,0d8c9a5d,54c3811d,a6177608,0.08
2025-01-29T12:12:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T12:15:00Z,0d8c9a5d,54c3811d,a6177608,0.07
2025-01-29T12:18:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T12:21:00Z,0d8c9a5d,54c3811d,a6177608,0.04
2025-01-29T12:24:00Z,0d8c9a5d,54c3811d,a6177608,0.04
