timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-14T16:30:00Z,e1e15d45,54c3811d,a6177608,2.15
2025-02-14T16:33:00Z,e1e15d45,54c3811d,a6177608,3.23
2025-02-14T16:36:00Z,e1e15d45,54c3811d,a6177608,0.06
2025-02-14T16:39:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T16:42:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T16:45:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T16:48:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T16:51:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T16:54:00Z,e1e15d45,54c3811d,a6177608,0.19
2025-02-14T16:57:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:00:00Z,e1e15d45,54c3811d,a6177608,0.06
2025-02-14T17:03:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:06:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:09:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:12:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:15:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:18:00Z,e1e15d45,54c3811d,a6177608,0.05
2025-02-14T17:21:00Z,e1e15d45,54c3811d,a6177608,0.75
2025-02-14T17:24:00Z,e1e15d45,54c3811d,a6177608,2.41
2025-02-14T17:27:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:30:00Z,e1e15d45,54c3811d,a6177608,0.06
2025-02-14T17:33:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:36:00Z,e1e15d45,54c3811d,a6177608,0.05
2025-02-14T17:39:00Z,e1e15d45,54c3811d,a6177608,0.04
2025-02-14T17:42:00Z,e1e15d45,54c3811d,a6177608,0.22
2025-02-14T17:45:00Z,e1e15d45,54c3811d,a6177608,0.08
2025-02-14T17:48:00Z,e1e15d45,54c3811d,a6177608,0.05
