timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-10T12:06:00Z,e43b0a1e,54c3811d,a6177608,2.69
2025-02-10T12:09:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T12:12:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T12:15:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:18:00Z,e43b0a1e,54c3811d,a6177608,0.19
2025-02-10T12:21:00Z,e43b0a1e,54c3811d,a6177608,2.48
2025-02-10T12:24:00Z,e43b0a1e,54c3811d,a6177608,0.3
2025-02-10T12:27:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T12:30:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T12:33:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:36:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:39:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T12:42:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:45:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:48:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T12:51:00Z,e43b0a1e,54c3811d,a6177608,0.03
2025-02-10T12:54:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T12:57:00Z,e43b0a1e,54c3811d,a6177608,0.22
2025-02-10T13:00:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T13:03:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T13:06:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:09:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T13:12:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:15:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:18:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:21:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:24:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T13:27:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T13:30:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T13:33:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:36:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:39:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T13:42:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:45:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:48:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:51:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T13:54:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T13:57:00Z,e43b0a1e,54c3811d,a6177608,0.16
2025-02-10T14:00:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T14:03:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:06:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:09:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T14:12:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:15:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:18:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:21:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:24:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:27:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T14:30:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T14:33:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:36:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:39:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T14:42:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:45:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:48:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:51:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T14:54:00Z,e43b0a1e,54c3811d,a6177608,0.09
2025-02-10T14:57:00Z,e43b0a1e,54c3811d,a6177608,0.12
2025-02-10T15:00:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T15:03:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:06:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:09:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T15:12:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:15:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:18:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:21:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:24:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:27:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T15:30:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T15:33:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:36:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:39:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T15:42:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:45:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:48:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:51:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T15:54:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T15:57:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:00:00Z,e43b0a1e,54c3811d,a6177608,0.15
2025-02-10T16:03:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:06:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:09:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T16:12:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:15:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:18:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:21:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:24:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T16:27:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:30:00Z,e43b0a1e,54c3811d,a6177608,0.06
2025-02-10T16:33:00Z,e43b0a1e,54c3811d,a6177608,0.05
2025-02-10T16:36:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:39:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T16:42:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:45:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:48:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:51:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T16:54:00Z,e43b0a1e,54c3811d,a6177608,0.07
2025-02-10T16:57:00Z,e43b0a1e,54c3811d,a6177608,0.24
2025-02-10T17:00:00Z,e43b0a1e,54c3811d,a6177608,0.07
2025-02-10T17:03:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T17:06:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T17:09:00Z,e43b0a1e,54c3811d,a6177608,0.08
2025-02-10T17:12:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T17:15:00Z,e43b0a1e,54c3811d,a6177608,0.04
2025-02-10T17:18:00Z,e43b0a1e,54c3811d,a6177608,0.1
