timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:06:00Z,c6b13b89,6d834fb8,a6177608,434.84
2025-01-16T08:09:00Z,c6b13b89,6d834fb8,a6177608,434.42
2025-01-16T08:12:00Z,c6b13b89,6d834fb8,a6177608,437.61
2025-01-16T08:15:00Z,c6b13b89,6d834fb8,a6177608,435.25
2025-01-16T08:18:00Z,c6b13b89,6d834fb8,a6177608,439.6
2025-01-16T08:21:00Z,c6b13b89,6d834fb8,a6177608,435.72
2025-01-16T08:24:00Z,c6b13b89,6d834fb8,a6177608,435.91
2025-01-16T08:27:00Z,c6b13b89,6d834fb8,a6177608,437.39
2025-01-16T08:30:00Z,c6b13b89,6d834fb8,a6177608,439.39
2025-01-16T08:33:00Z,c6b13b89,6d834fb8,a6177608,436.67
2025-01-16T08:36:00Z,c6b13b89,6d834fb8,a6177608,435.68
2025-01-16T08:39:00Z,c6b13b89,6d834fb8,a6177608,436.81
2025-01-16T08:42:00Z,c6b13b89,6d834fb8,a6177608,436.58
2025-01-16T08:45:00Z,c6b13b89,6d834fb8,a6177608,160.24
2025-01-16T08:48:00Z,c6b13b89,6d834fb8,a6177608,0.04
2025-01-16T08:51:00Z,c6b13b89,6d834fb8,a6177608,188.45
2025-01-16T08:54:00Z,c6b13b89,6d834fb8,a6177608,222.38
2025-01-16T08:57:00Z,c6b13b89,6d834fb8,a6177608,247.71
2025-01-16T09:00:00Z,c6b13b89,6d834fb8,a6177608,235.89
2025-01-16T09:03:00Z,c6b13b89,6d834fb8,a6177608,248.87
2025-01-16T09:06:00Z,c6b13b89,6d834fb8,a6177608,243.5
2025-01-16T09:09:00Z,c6b13b89,6d834fb8,a6177608,237.8
2025-01-16T09:12:00Z,c6b13b89,6d834fb8,a6177608,262.76
2025-01-16T09:15:00Z,c6b13b89,6d834fb8,a6177608,243.74
2025-01-16T09:18:00Z,c6b13b89,6d834fb8,a6177608,249.58
2025-01-16T09:21:00Z,c6b13b89,6d834fb8,a6177608,234.91
2025-01-16T09:24:00Z,c6b13b89,6d834fb8,a6177608,257.88
2025-01-16T09:27:00Z,c6b13b89,6d834fb8,a6177608,248.39
2025-01-16T09:30:00Z,c6b13b89,6d834fb8,a6177608,243.7
2025-01-16T09:33:00Z,c6b13b89,6d834fb8,a6177608,259.52
2025-01-16T09:36:00Z,c6b13b89,6d834fb8,a6177608,270.32
2025-01-16T09:39:00Z,c6b13b89,6d834fb8,a6177608,523.9
2025-01-16T09:42:00Z,c6b13b89,6d834fb8,a6177608,525.33
2025-01-16T09:45:00Z,c6b13b89,6d834fb8,a6177608,525.62
2025-01-16T09:48:00Z,c6b13b89,6d834fb8,a6177608,525.24
2025-01-16T09:51:00Z,c6b13b89,6d834fb8,a6177608,525.84
2025-01-16T09:54:00Z,c6b13b89,6d834fb8,a6177608,525.66
2025-01-16T09:57:00Z,c6b13b89,6d834fb8,a6177608,525.66
2025-01-16T10:00:00Z,c6b13b89,6d834fb8,a6177608,525.65
2025-01-16T10:03:00Z,c6b13b89,6d834fb8,a6177608,525.18
2025-01-16T10:06:00Z,c6b13b89,6d834fb8,a6177608,526.12
2025-01-16T10:09:00Z,c6b13b89,6d834fb8,a6177608,525.19
2025-01-16T10:12:00Z,c6b13b89,6d834fb8,a6177608,526.36
2025-01-16T10:15:00Z,c6b13b89,6d834fb8,a6177608,525.46
2025-01-16T10:18:00Z,c6b13b89,6d834fb8,a6177608,526.21
2025-01-16T10:21:00Z,c6b13b89,6d834fb8,a6177608,525.09
2025-01-16T10:24:00Z,c6b13b89,6d834fb8,a6177608,525.93
2025-01-16T10:27:00Z,c6b13b89,6d834fb8,a6177608,525.22
2025-01-16T10:30:00Z,c6b13b89,6d834fb8,a6177608,525.96
2025-01-16T10:33:00Z,c6b13b89,6d834fb8,a6177608,525.66
2025-01-16T10:36:00Z,c6b13b89,6d834fb8,a6177608,522.71
2025-01-16T10:39:00Z,c6b13b89,6d834fb8,a6177608,525.83
2025-01-16T10:42:00Z,c6b13b89,6d834fb8,a6177608,525.64
2025-01-16T10:45:00Z,c6b13b89,6d834fb8,a6177608,525.42
2025-01-16T10:48:00Z,c6b13b89,6d834fb8,a6177608,525.32
2025-01-16T10:51:00Z,c6b13b89,6d834fb8,a6177608,525.85
2025-01-16T10:54:00Z,c6b13b89,6d834fb8,a6177608,525.92
2025-01-16T10:57:00Z,c6b13b89,6d834fb8,a6177608,525.54
2025-01-16T11:00:00Z,c6b13b89,6d834fb8,a6177608,525.83
2025-01-16T11:03:00Z,c6b13b89,6d834fb8,a6177608,525.74
2025-01-16T11:06:00Z,c6b13b89,6d834fb8,a6177608,526.3
2025-01-16T11:09:00Z,c6b13b89,6d834fb8,a6177608,525.21
2025-01-16T11:12:00Z,c6b13b89,6d834fb8,a6177608,525.76
2025-01-16T11:15:00Z,c6b13b89,6d834fb8,a6177608,525.71
2025-01-16T11:18:00Z,c6b13b89,6d834fb8,a6177608,525.56
2025-01-16T11:21:00Z,c6b13b89,6d834fb8,a6177608,525.99
2025-01-16T11:24:00Z,c6b13b89,6d834fb8,a6177608,525.84
2025-01-16T11:27:00Z,c6b13b89,6d834fb8,a6177608,525.02
2025-01-16T11:30:00Z,c6b13b89,6d834fb8,a6177608,526.32
2025-01-16T11:33:00Z,c6b13b89,6d834fb8,a6177608,525.34
2025-01-16T11:36:00Z,c6b13b89,6d834fb8,a6177608,525.7
2025-01-16T11:39:00Z,c6b13b89,6d834fb8,a6177608,525.27
2025-01-16T11:42:00Z,c6b13b89,6d834fb8,a6177608,526.27
2025-01-16T11:45:00Z,c6b13b89,6d834fb8,a6177608,525.83
2025-01-16T11:48:00Z,c6b13b89,6d834fb8,a6177608,526.01
2025-01-16T11:51:00Z,c6b13b89,6d834fb8,a6177608,524.83
2025-01-16T11:54:00Z,c6b13b89,6d834fb8,a6177608,526.27
2025-01-16T11:57:00Z,c6b13b89,6d834fb8,a6177608,525.7
2025-01-16T12:00:00Z,c6b13b89,6d834fb8,a6177608,525.6
2025-01-16T12:03:00Z,c6b13b89,6d834fb8,a6177608,525.69
2025-01-16T12:06:00Z,c6b13b89,6d834fb8,a6177608,525.08
2025-01-16T12:09:00Z,c6b13b89,6d834fb8,a6177608,526.11
2025-01-16T12:12:00Z,c6b13b89,6d834fb8,a6177608,525.65
2025-01-16T12:15:00Z,c6b13b89,6d834fb8,a6177608,526.36
2025-01-16T12:18:00Z,c6b13b89,6d834fb8,a6177608,525.33
2025-01-16T12:21:00Z,c6b13b89,6d834fb8,a6177608,526.01
2025-01-16T12:24:00Z,c6b13b89,6d834fb8,a6177608,527.15
2025-01-16T12:27:00Z,c6b13b89,6d834fb8,a6177608,525.52
2025-01-16T12:30:00Z,c6b13b89,6d834fb8,a6177608,525.66
2025-01-16T12:33:00Z,c6b13b89,6d834fb8,a6177608,525.11
2025-01-16T12:36:00Z,c6b13b89,6d834fb8,a6177608,525.82
2025-01-16T12:39:00Z,c6b13b89,6d834fb8,a6177608,525.85
2025-01-16T12:42:00Z,c6b13b89,6d834fb8,a6177608,526.02
2025-01-16T12:45:00Z,c6b13b89,6d834fb8,a6177608,525.96
2025-01-16T12:48:00Z,c6b13b89,6d834fb8,a6177608,526.0
2025-01-16T12:51:00Z,c6b13b89,6d834fb8,a6177608,525.58
2025-01-16T12:54:00Z,c6b13b89,6d834fb8,a6177608,525.86
2025-01-16T12:57:00Z,c6b13b89,6d834fb8,a6177608,525.6
2025-01-16T13:00:00Z,c6b13b89,6d834fb8,a6177608,526.01
2025-01-16T13:03:00Z,c6b13b89,6d834fb8,a6177608,526.0
2025-01-16T13:06:00Z,c6b13b89,6d834fb8,a6177608,525.33
2025-01-16T13:09:00Z,c6b13b89,6d834fb8,a6177608,525.78
2025-01-16T13:12:00Z,c6b13b89,6d834fb8,a6177608,525.49
2025-01-16T13:15:00Z,c6b13b89,6d834fb8,a6177608,525.65
2025-01-16T13:18:00Z,c6b13b89,6d834fb8,a6177608,526.25
2025-01-16T13:21:00Z,c6b13b89,6d834fb8,a6177608,525.99
2025-01-16T13:24:00Z,c6b13b89,6d834fb8,a6177608,525.49
2025-01-16T13:27:00Z,c6b13b89,6d834fb8,a6177608,525.83
2025-01-16T13:30:00Z,c6b13b89,6d834fb8,a6177608,526.1
2025-01-16T13:33:00Z,c6b13b89,6d834fb8,a6177608,526.25
2025-01-16T13:36:00Z,c6b13b89,6d834fb8,a6177608,525.85
2025-01-16T13:39:00Z,c6b13b89,6d834fb8,a6177608,525.67
2025-01-16T13:42:00Z,c6b13b89,6d834fb8,a6177608,525.98
2025-01-16T13:45:00Z,c6b13b89,6d834fb8,a6177608,526.18
2025-01-16T13:48:00Z,c6b13b89,6d834fb8,a6177608,526.28
2025-01-16T13:51:00Z,c6b13b89,6d834fb8,a6177608,526.05
2025-01-16T13:54:00Z,c6b13b89,6d834fb8,a6177608,526.4
2025-01-16T13:57:00Z,c6b13b89,6d834fb8,a6177608,525.62
2025-01-16T14:00:00Z,c6b13b89,6d834fb8,a6177608,525.85
2025-01-16T14:03:00Z,c6b13b89,6d834fb8,a6177608,525.78
2025-01-16T14:06:00Z,c6b13b89,6d834fb8,a6177608,526.06
2025-01-16T14:09:00Z,c6b13b89,6d834fb8,a6177608,525.3
2025-01-16T14:12:00Z,c6b13b89,6d834fb8,a6177608,526.07
2025-01-16T14:15:00Z,c6b13b89,6d834fb8,a6177608,526.3
2025-01-16T14:18:00Z,c6b13b89,6d834fb8,a6177608,526.17
2025-01-16T14:21:00Z,c6b13b89,6d834fb8,a6177608,526.27
2025-01-16T14:24:00Z,c6b13b89,6d834fb8,a6177608,524.83
2025-01-16T14:27:00Z,c6b13b89,6d834fb8,a6177608,526.3
2025-01-16T14:30:00Z,c6b13b89,6d834fb8,a6177608,526.1
2025-01-16T14:33:00Z,c6b13b89,6d834fb8,a6177608,526.12
2025-01-16T14:36:00Z,c6b13b89,6d834fb8,a6177608,525.73
2025-01-16T14:39:00Z,c6b13b89,6d834fb8,a6177608,526.04
2025-01-16T14:42:00Z,c6b13b89,6d834fb8,a6177608,526.39
2025-01-16T14:45:00Z,c6b13b89,6d834fb8,a6177608,525.69
2025-01-16T14:48:00Z,c6b13b89,6d834fb8,a6177608,526.18
2025-01-16T14:51:00Z,c6b13b89,6d834fb8,a6177608,526.18
2025-01-16T14:54:00Z,c6b13b89,6d834fb8,a6177608,525.45
2025-01-16T14:57:00Z,c6b13b89,6d834fb8,a6177608,526.22
2025-01-16T15:00:00Z,c6b13b89,6d834fb8,a6177608,525.57
2025-01-16T15:03:00Z,c6b13b89,6d834fb8,a6177608,526.2
2025-01-16T15:06:00Z,c6b13b89,6d834fb8,a6177608,525.58
2025-01-16T15:09:00Z,c6b13b89,6d834fb8,a6177608,525.19
2025-01-16T15:12:00Z,c6b13b89,6d834fb8,a6177608,526.28
2025-01-16T15:15:00Z,c6b13b89,6d834fb8,a6177608,525.16
2025-01-16T15:18:00Z,c6b13b89,6d834fb8,a6177608,526.01
2025-01-16T15:21:00Z,c6b13b89,6d834fb8,a6177608,525.94
2025-01-16T15:24:00Z,c6b13b89,6d834fb8,a6177608,525.95
2025-01-16T15:27:00Z,c6b13b89,6d834fb8,a6177608,526.41
2025-01-16T15:30:00Z,c6b13b89,6d834fb8,a6177608,525.3
2025-01-16T15:33:00Z,c6b13b89,6d834fb8,a6177608,526.02
2025-01-16T15:36:00Z,c6b13b89,6d834fb8,a6177608,526.17
2025-01-16T15:39:00Z,c6b13b89,6d834fb8,a6177608,525.5
2025-01-16T15:42:00Z,c6b13b89,6d834fb8,a6177608,526.46
2025-01-16T15:45:00Z,c6b13b89,6d834fb8,a6177608,526.03
2025-01-16T15:48:00Z,c6b13b89,6d834fb8,a6177608,525.63
2025-01-16T15:51:00Z,c6b13b89,6d834fb8,a6177608,526.21
2025-01-16T15:54:00Z,c6b13b89,6d834fb8,a6177608,525.42
2025-01-16T15:57:00Z,c6b13b89,6d834fb8,a6177608,526.58
2025-01-16T16:00:00Z,c6b13b89,6d834fb8,a6177608,526.17
2025-01-16T16:03:00Z,c6b13b89,6d834fb8,a6177608,525.9
2025-01-16T16:06:00Z,c6b13b89,6d834fb8,a6177608,526.12
2025-01-16T16:09:00Z,c6b13b89,6d834fb8,a6177608,525.76
2025-01-16T16:12:00Z,c6b13b89,6d834fb8,a6177608,526.24
2025-01-16T16:15:00Z,c6b13b89,6d834fb8,a6177608,525.93
2025-01-16T16:18:00Z,c6b13b89,6d834fb8,a6177608,525.55
2025-01-16T16:21:00Z,c6b13b89,6d834fb8,a6177608,526.41
2025-01-16T16:24:00Z,c6b13b89,6d834fb8,a6177608,525.8
2025-01-16T16:27:00Z,c6b13b89,6d834fb8,a6177608,525.97
2025-01-16T16:30:00Z,c6b13b89,6d834fb8,a6177608,526.45
2025-01-16T16:33:00Z,c6b13b89,6d834fb8,a6177608,525.64
2025-01-16T16:36:00Z,c6b13b89,6d834fb8,a6177608,526.17
2025-01-16T16:39:00Z,c6b13b89,6d834fb8,a6177608,525.54
2025-01-16T16:42:00Z,c6b13b89,6d834fb8,a6177608,525.67
2025-01-16T16:45:00Z,c6b13b89,6d834fb8,a6177608,526.3
2025-01-16T16:48:00Z,c6b13b89,6d834fb8,a6177608,525.93
2025-01-16T16:51:00Z,c6b13b89,6d834fb8,a6177608,525.71
2025-01-16T16:54:00Z,c6b13b89,6d834fb8,a6177608,526.02
2025-01-16T16:57:00Z,c6b13b89,6d834fb8,a6177608,525.77
2025-01-16T17:00:00Z,c6b13b89,6d834fb8,a6177608,526.35
2025-01-16T17:03:00Z,c6b13b89,6d834fb8,a6177608,525.71
2025-01-16T17:06:00Z,c6b13b89,6d834fb8,a6177608,525.89
2025-01-16T17:09:00Z,c6b13b89,6d834fb8,a6177608,525.95
2025-01-16T17:12:00Z,c6b13b89,6d834fb8,a6177608,525.63
2025-01-16T17:15:00Z,c6b13b89,6d834fb8,a6177608,525.78
2025-01-16T17:18:00Z,c6b13b89,6d834fb8,a6177608,526.34
2025-01-16T17:21:00Z,c6b13b89,6d834fb8,a6177608,525.75
