timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-21T10:21:00Z,3e12c133,8d2843f5,a6177608,0.0
2025-01-21T10:24:00Z,3e12c133,8d2843f5,a6177608,0.34
2025-01-21T10:27:00Z,3e12c133,8d2843f5,a6177608,1.0
2025-01-21T10:30:00Z,3e12c133,8d2843f5,a6177608,0.17
2025-01-21T10:33:00Z,3e12c133,8d2843f5,a6177608,0.08
2025-01-21T10:36:00Z,3e12c133,8d2843f5,a6177608,0.98
2025-01-21T10:39:00Z,3e12c133,8d2843f5,a6177608,0.18
2025-01-21T10:42:00Z,3e12c133,8d2843f5,a6177608,0.18
2025-01-21T10:45:00Z,3e12c133,8d2843f5,a6177608,0.18
2025-01-21T10:48:00Z,3e12c133,8d2843f5,a6177608,0.18
2025-01-21T10:51:00Z,3e12c133,8d2843f5,a6177608,0.94
2025-01-21T10:54:00Z,3e12c133,8d2843f5,a6177608,0.34
2025-01-21T10:57:00Z,3e12c133,8d2843f5,a6177608,0.19
2025-01-21T11:00:00Z,3e12c133,8d2843f5,a6177608,0.19
2025-01-21T11:03:00Z,3e12c133,8d2843f5,a6177608,0.19
2025-01-21T11:06:00Z,3e12c133,8d2843f5,a6177608,0.19
