timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-17T09:36:00Z,20b4d639,a4ec376f,a6177608,4.7
2025-02-17T09:39:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T09:42:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T09:45:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T09:48:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T09:51:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T09:54:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T09:57:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:00:00Z,20b4d639,a4ec376f,a6177608,0.09
2025-02-17T10:03:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:06:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:09:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:12:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:15:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T10:18:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T10:21:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:24:00Z,20b4d639,a4ec376f,a6177608,2.7
2025-02-17T10:27:00Z,20b4d639,a4ec376f,a6177608,0.72
2025-02-17T10:30:00Z,20b4d639,a4ec376f,a6177608,0.07
2025-02-17T10:33:00Z,20b4d639,a4ec376f,a6177608,0.04
2025-02-17T10:36:00Z,20b4d639,a4ec376f,a6177608,0.12
2025-02-17T10:39:00Z,20b4d639,a4ec376f,a6177608,0.18
2025-02-17T10:42:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T10:45:00Z,20b4d639,a4ec376f,a6177608,0.1
2025-02-17T10:48:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T10:51:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T10:54:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T10:57:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:00:00Z,20b4d639,a4ec376f,a6177608,0.08
2025-02-17T11:03:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:06:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:09:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:12:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:15:00Z,20b4d639,a4ec376f,a6177608,0.1
2025-02-17T11:18:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:21:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:24:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:27:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:30:00Z,20b4d639,a4ec376f,a6177608,0.08
2025-02-17T11:33:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:36:00Z,20b4d639,a4ec376f,a6177608,0.07
2025-02-17T11:39:00Z,20b4d639,a4ec376f,a6177608,0.06
2025-02-17T11:42:00Z,20b4d639,a4ec376f,a6177608,0.18
2025-02-17T11:45:00Z,20b4d639,a4ec376f,a6177608,0.1
2025-02-17T11:48:00Z,20b4d639,a4ec376f,a6177608,0.09
2025-02-17T11:51:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T11:54:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T11:57:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:00:00Z,20b4d639,a4ec376f,a6177608,0.07
2025-02-17T12:03:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:06:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:09:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:12:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:15:00Z,20b4d639,a4ec376f,a6177608,0.09
2025-02-17T12:18:00Z,20b4d639,a4ec376f,a6177608,0.05
2025-02-17T12:21:00Z,20b4d639,a4ec376f,a6177608,70.44
2025-02-17T12:24:00Z,20b4d639,a4ec376f,a6177608,351.84
2025-02-17T12:27:00Z,20b4d639,a4ec376f,a6177608,353.97
2025-02-17T12:30:00Z,20b4d639,a4ec376f,a6177608,352.5
2025-02-17T12:33:00Z,20b4d639,a4ec376f,a6177608,350.87
2025-02-17T12:36:00Z,20b4d639,a4ec376f,a6177608,352.89
2025-02-17T12:39:00Z,20b4d639,a4ec376f,a6177608,354.91
2025-02-17T12:42:00Z,20b4d639,a4ec376f,a6177608,356.35
2025-02-17T12:45:00Z,20b4d639,a4ec376f,a6177608,355.96
2025-02-17T12:48:00Z,20b4d639,a4ec376f,a6177608,355.89
2025-02-17T12:51:00Z,20b4d639,a4ec376f,a6177608,354.66
2025-02-17T12:54:00Z,20b4d639,a4ec376f,a6177608,355.45
2025-02-17T12:57:00Z,20b4d639,a4ec376f,a6177608,355.63
2025-02-17T13:00:00Z,20b4d639,a4ec376f,a6177608,356.09
2025-02-17T13:03:00Z,20b4d639,a4ec376f,a6177608,355.9
2025-02-17T13:06:00Z,20b4d639,a4ec376f,a6177608,352.54
2025-02-17T13:09:00Z,20b4d639,a4ec376f,a6177608,351.93
2025-02-17T13:12:00Z,20b4d639,a4ec376f,a6177608,354.81
2025-02-17T13:15:00Z,20b4d639,a4ec376f,a6177608,355.92
2025-02-17T13:18:00Z,20b4d639,a4ec376f,a6177608,353.46
