timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-30T10:33:00Z,99c420da,a4ec376f,a6177608,4.09
2025-01-30T10:36:00Z,99c420da,a4ec376f,a6177608,0.04
2025-01-30T10:39:00Z,99c420da,a4ec376f,a6177608,0.71
2025-01-30T10:42:00Z,99c420da,a4ec376f,a6177608,0.06
2025-01-30T10:45:00Z,99c420da,a4ec376f,a6177608,0.13
2025-01-30T10:48:00Z,99c420da,a4ec376f,a6177608,0.18
2025-01-30T10:51:00Z,99c420da,a4ec376f,a6177608,0.13
2025-01-30T10:54:00Z,99c420da,a4ec376f,a6177608,0.04
2025-01-30T10:57:00Z,99c420da,a4ec376f,a6177608,0.15
2025-01-30T11:00:00Z,99c420da,a4ec376f,a6177608,0.04
2025-01-30T11:03:00Z,99c420da,a4ec376f,a6177608,0.13
2025-01-30T11:06:00Z,99c420da,a4ec376f,a6177608,0.05
2025-01-30T11:09:00Z,99c420da,a4ec376f,a6177608,0.12
2025-01-30T11:12:00Z,99c420da,a4ec376f,a6177608,0.04
2025-01-30T11:15:00Z,99c420da,a4ec376f,a6177608,0.04
2025-01-30T11:18:00Z,99c420da,a4ec376f,a6177608,0.05
2025-01-30T11:21:00Z,99c420da,a4ec376f,a6177608,0.24
2025-01-30T11:24:00Z,99c420da,a4ec376f,a6177608,1.4
2025-01-30T11:27:00Z,99c420da,a4ec376f,a6177608,1.12
2025-01-30T11:30:00Z,99c420da,a4ec376f,a6177608,1.3
2025-01-30T11:33:00Z,99c420da,a4ec376f,a6177608,0.06
2025-01-30T11:36:00Z,99c420da,a4ec376f,a6177608,0.14
2025-01-30T11:39:00Z,99c420da,a4ec376f,a6177608,0.22
2025-01-30T11:42:00Z,99c420da,a4ec376f,a6177608,0.73
2025-01-30T11:45:00Z,99c420da,a4ec376f,a6177608,0.17
2025-01-30T11:48:00Z,99c420da,a4ec376f,a6177608,0.06
2025-01-30T11:51:00Z,99c420da,a4ec376f,a6177608,0.05
2025-01-30T11:54:00Z,99c420da,a4ec376f,a6177608,0.09
2025-01-30T11:57:00Z,99c420da,a4ec376f,a6177608,0.17
2025-01-30T12:00:00Z,99c420da,a4ec376f,a6177608,0.14
2025-01-30T12:03:00Z,99c420da,a4ec376f,a6177608,0.3
2025-01-30T12:06:00Z,99c420da,a4ec376f,a6177608,0.29
2025-01-30T12:09:00Z,99c420da,a4ec376f,a6177608,0.29
