timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:09:00Z,8e42bb58,a57bfdd7,a6177608,52.24
2025-01-16T08:12:00Z,8e42bb58,a57bfdd7,a6177608,52.38
2025-01-16T08:15:00Z,8e42bb58,a57bfdd7,a6177608,52.72
2025-01-16T08:18:00Z,8e42bb58,a57bfdd7,a6177608,51.76
2025-01-16T08:21:00Z,8e42bb58,a57bfdd7,a6177608,52.74
2025-01-16T08:24:00Z,8e42bb58,a57bfdd7,a6177608,53.59
2025-01-16T08:27:00Z,8e42bb58,a57bfdd7,a6177608,51.55
2025-01-16T08:30:00Z,8e42bb58,a57bfdd7,a6177608,52.23
2025-01-16T08:33:00Z,8e42bb58,a57bfdd7,a6177608,52.27
2025-01-16T08:36:00Z,8e42bb58,a57bfdd7,a6177608,78.8
2025-01-16T08:39:00Z,8e42bb58,a57bfdd7,a6177608,74.24
2025-01-16T08:42:00Z,8e42bb58,a57bfdd7,a6177608,67.16
2025-01-16T08:45:00Z,8e42bb58,a57bfdd7,a6177608,56.3
2025-01-16T08:48:00Z,8e42bb58,a57bfdd7,a6177608,62.31
2025-01-16T08:51:00Z,8e42bb58,a57bfdd7,a6177608,55.84
2025-01-16T08:54:00Z,8e42bb58,a57bfdd7,a6177608,52.39
2025-01-16T08:57:00Z,8e42bb58,a57bfdd7,a6177608,55.41
2025-01-16T09:00:00Z,8e42bb58,a57bfdd7,a6177608,51.58
2025-01-16T09:03:00Z,8e42bb58,a57bfdd7,a6177608,51.28
2025-01-16T09:06:00Z,8e42bb58,a57bfdd7,a6177608,54.95
2025-01-16T09:09:00Z,8e42bb58,a57bfdd7,a6177608,53.39
2025-01-16T09:12:00Z,8e42bb58,a57bfdd7,a6177608,55.74
2025-01-16T09:15:00Z,8e42bb58,a57bfdd7,a6177608,47.53
2025-01-16T09:18:00Z,8e42bb58,a57bfdd7,a6177608,50.34
2025-01-16T09:21:00Z,8e42bb58,a57bfdd7,a6177608,49.54
2025-01-16T09:24:00Z,8e42bb58,a57bfdd7,a6177608,50.45
2025-01-16T09:27:00Z,8e42bb58,a57bfdd7,a6177608,49.52
2025-01-16T09:30:00Z,8e42bb58,a57bfdd7,a6177608,39.08
2025-01-16T09:33:00Z,8e42bb58,a57bfdd7,a6177608,39.59
2025-01-16T09:36:00Z,8e42bb58,a57bfdd7,a6177608,36.91
2025-01-16T09:39:00Z,8e42bb58,a57bfdd7,a6177608,38.18
2025-01-16T09:42:00Z,8e42bb58,a57bfdd7,a6177608,39.37
2025-01-16T09:45:00Z,8e42bb58,a57bfdd7,a6177608,39.21
