timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-20T09:57:00Z,b425870f,b1b36b26,a6177608,0.0
2025-01-20T10:00:00Z,b425870f,b1b36b26,a6177608,3.95
2025-01-20T10:03:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:06:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T10:09:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T10:12:00Z,b425870f,b1b36b26,a6177608,0.19
2025-01-20T10:15:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:18:00Z,b425870f,b1b36b26,a6177608,0.35
2025-01-20T10:21:00Z,b425870f,b1b36b26,a6177608,1.29
2025-01-20T10:24:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:27:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:30:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T10:33:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T10:36:00Z,b425870f,b1b36b26,a6177608,0.09
2025-01-20T10:39:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:42:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T10:45:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T10:48:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T10:51:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T10:54:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T10:57:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:00:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T11:03:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T11:06:00Z,b425870f,b1b36b26,a6177608,0.08
2025-01-20T11:09:00Z,b425870f,b1b36b26,a6177608,0.18
2025-01-20T11:12:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:15:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:18:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:21:00Z,b425870f,b1b36b26,a6177608,0.06
2025-01-20T11:24:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T11:27:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T11:30:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T11:33:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:36:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T11:39:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T11:42:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:45:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:48:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:51:00Z,b425870f,b1b36b26,a6177608,0.06
2025-01-20T11:54:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T11:57:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:00:00Z,b425870f,b1b36b26,a6177608,0.09
2025-01-20T12:03:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:06:00Z,b425870f,b1b36b26,a6177608,0.08
2025-01-20T12:09:00Z,b425870f,b1b36b26,a6177608,0.16
2025-01-20T12:12:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T12:15:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T12:18:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:21:00Z,b425870f,b1b36b26,a6177608,0.06
2025-01-20T12:24:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:27:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:30:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T12:33:00Z,b425870f,b1b36b26,a6177608,0.04
2025-01-20T12:36:00Z,b425870f,b1b36b26,a6177608,0.07
2025-01-20T12:39:00Z,b425870f,b1b36b26,a6177608,0.05
2025-01-20T12:42:00Z,b425870f,b1b36b26,a6177608,0.05
