timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-02-17T09:57:00Z,dfebe003,d7ea95c2,a6177608,357.17
2025-02-17T10:00:00Z,dfebe003,d7ea95c2,a6177608,357.13
2025-02-17T10:03:00Z,dfebe003,d7ea95c2,a6177608,359.32
2025-02-17T10:06:00Z,dfebe003,d7ea95c2,a6177608,356.11
2025-02-17T10:09:00Z,dfebe003,d7ea95c2,a6177608,355.55
2025-02-17T10:12:00Z,dfebe003,d7ea95c2,a6177608,355.55
2025-02-17T10:15:00Z,dfebe003,d7ea95c2,a6177608,355.55
2025-02-17T10:18:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:21:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:24:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:27:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:30:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:33:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:36:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:39:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:42:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:45:00Z,dfebe003,d7ea95c2,a6177608,
2025-02-17T10:48:00Z,dfebe003,d7ea95c2,a6177608,288.08
2025-02-17T10:51:00Z,dfebe003,d7ea95c2,a6177608,354.12
2025-02-17T10:54:00Z,dfebe003,d7ea95c2,a6177608,352.06
2025-02-17T10:57:00Z,dfebe003,d7ea95c2,a6177608,353.78
2025-02-17T11:00:00Z,dfebe003,d7ea95c2,a6177608,354.18
2025-02-17T11:03:00Z,dfebe003,d7ea95c2,a6177608,354.27
2025-02-17T11:06:00Z,dfebe003,d7ea95c2,a6177608,354.79
2025-02-17T11:09:00Z,dfebe003,d7ea95c2,a6177608,354.56
2025-02-17T11:12:00Z,dfebe003,d7ea95c2,a6177608,353.63
2025-02-17T11:15:00Z,dfebe003,d7ea95c2,a6177608,353.7
2025-02-17T11:18:00Z,dfebe003,d7ea95c2,a6177608,354.26
2025-02-17T11:21:00Z,dfebe003,d7ea95c2,a6177608,351.05
2025-02-17T11:24:00Z,dfebe003,d7ea95c2,a6177608,350.81
2025-02-17T11:27:00Z,dfebe003,d7ea95c2,a6177608,352.8
2025-02-17T11:30:00Z,dfebe003,d7ea95c2,a6177608,353.47
2025-02-17T11:33:00Z,dfebe003,d7ea95c2,a6177608,354.02
2025-02-17T11:36:00Z,dfebe003,d7ea95c2,a6177608,353.11
2025-02-17T11:39:00Z,dfebe003,d7ea95c2,a6177608,352.12
2025-02-17T11:42:00Z,dfebe003,d7ea95c2,a6177608,350.2
2025-02-17T11:45:00Z,dfebe003,d7ea95c2,a6177608,351.64
2025-02-17T11:48:00Z,dfebe003,d7ea95c2,a6177608,352.12
2025-02-17T11:51:00Z,dfebe003,d7ea95c2,a6177608,353.26
2025-02-17T11:54:00Z,dfebe003,d7ea95c2,a6177608,351.34
2025-02-17T11:57:00Z,dfebe003,d7ea95c2,a6177608,350.23
2025-02-17T12:00:00Z,dfebe003,d7ea95c2,a6177608,350.81
2025-02-17T12:03:00Z,dfebe003,d7ea95c2,a6177608,353.06
2025-02-17T12:06:00Z,dfebe003,d7ea95c2,a6177608,350.84
2025-02-17T12:09:00Z,dfebe003,d7ea95c2,a6177608,351.92
2025-02-17T12:12:00Z,dfebe003,d7ea95c2,a6177608,349.19
2025-02-17T12:15:00Z,dfebe003,d7ea95c2,a6177608,351.92
2025-02-17T12:18:00Z,dfebe003,d7ea95c2,a6177608,352.6
2025-02-17T12:21:00Z,dfebe003,d7ea95c2,a6177608,123.68
2025-02-17T12:24:00Z,dfebe003,d7ea95c2,a6177608,337.39
2025-02-17T12:27:00Z,dfebe003,d7ea95c2,a6177608,355.13
2025-02-17T12:30:00Z,dfebe003,d7ea95c2,a6177608,358.02
2025-02-17T12:33:00Z,dfebe003,d7ea95c2,a6177608,348.66
2025-02-17T12:36:00Z,dfebe003,d7ea95c2,a6177608,363.15
2025-02-17T12:39:00Z,dfebe003,d7ea95c2,a6177608,354.31
2025-02-17T12:42:00Z,dfebe003,d7ea95c2,a6177608,352.74
2025-02-17T12:45:00Z,dfebe003,d7ea95c2,a6177608,375.5
2025-02-17T12:48:00Z,dfebe003,d7ea95c2,a6177608,373.21
2025-02-17T12:51:00Z,dfebe003,d7ea95c2,a6177608,355.2
2025-02-17T12:54:00Z,dfebe003,d7ea95c2,a6177608,350.47
2025-02-17T12:57:00Z,dfebe003,d7ea95c2,a6177608,400.12
2025-02-17T13:00:00Z,dfebe003,d7ea95c2,a6177608,355.82
2025-02-17T13:03:00Z,dfebe003,d7ea95c2,a6177608,347.76
2025-02-17T13:06:00Z,dfebe003,d7ea95c2,a6177608,357.05
2025-02-17T13:09:00Z,dfebe003,d7ea95c2,a6177608,324.06
2025-02-17T13:12:00Z,dfebe003,d7ea95c2,a6177608,347.5
2025-02-17T13:15:00Z,dfebe003,d7ea95c2,a6177608,291.47
2025-02-17T13:18:00Z,dfebe003,d7ea95c2,a6177608,359.33
2025-02-17T13:21:00Z,dfebe003,d7ea95c2,a6177608,358.53
2025-02-17T13:24:00Z,dfebe003,d7ea95c2,a6177608,356.2
2025-02-17T13:27:00Z,dfebe003,d7ea95c2,a6177608,365.01
2025-02-17T13:30:00Z,dfebe003,d7ea95c2,a6177608,350.78
2025-02-17T13:33:00Z,dfebe003,d7ea95c2,a6177608,351.01
2025-02-17T13:36:00Z,dfebe003,d7ea95c2,a6177608,345.85
2025-02-17T13:39:00Z,dfebe003,d7ea95c2,a6177608,354.72
2025-02-17T13:42:00Z,dfebe003,d7ea95c2,a6177608,354.71
2025-02-17T13:45:00Z,dfebe003,d7ea95c2,a6177608,285.67
