timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-21T10:21:00Z,fef68a03,e4362c19,a6177608,0.0
2025-01-21T10:24:00Z,fef68a03,e4362c19,a6177608,0.28
2025-01-21T10:27:00Z,fef68a03,e4362c19,a6177608,0.78
2025-01-21T10:30:00Z,fef68a03,e4362c19,a6177608,0.07
2025-01-21T10:33:00Z,fef68a03,e4362c19,a6177608,0.17
2025-01-21T10:36:00Z,fef68a03,e4362c19,a6177608,1.97
2025-01-21T10:39:00Z,fef68a03,e4362c19,a6177608,3.33
2025-01-21T10:42:00Z,fef68a03,e4362c19,a6177608,0.58
2025-01-21T10:45:00Z,fef68a03,e4362c19,a6177608,0.59
2025-01-21T10:48:00Z,fef68a03,e4362c19,a6177608,1.2
2025-01-21T10:51:00Z,fef68a03,e4362c19,a6177608,0.65
2025-01-21T10:54:00Z,fef68a03,e4362c19,a6177608,0.78
2025-01-21T10:57:00Z,fef68a03,e4362c19,a6177608,0.47
2025-01-21T11:00:00Z,fef68a03,e4362c19,a6177608,0.47
2025-01-21T11:03:00Z,fef68a03,e4362c19,a6177608,0.47
2025-01-21T11:06:00Z,fef68a03,e4362c19,a6177608,0.47
