timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-28T10:51:00Z,7ee232fa,5333662e,b8994569,1.49
2025-03-28T10:54:00Z,7ee232fa,5333662e,b8994569,0.56
2025-03-28T10:57:00Z,7ee232fa,5333662e,b8994569,0.26
2025-03-28T11:00:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:03:00Z,7ee232fa,5333662e,b8994569,0.02
2025-03-28T11:06:00Z,7ee232fa,5333662e,b8994569,0.02
2025-03-28T11:09:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:12:00Z,7ee232fa,5333662e,b8994569,0.06
2025-03-28T11:15:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:18:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:21:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:24:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:27:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:30:00Z,7ee232fa,5333662e,b8994569,0.03
2025-03-28T11:33:00Z,7ee232fa,5333662e,b8994569,0.06
2025-03-28T11:36:00Z,7ee232fa,5333662e,b8994569,0.07
2025-03-28T11:39:00Z,7ee232fa,5333662e,b8994569,0.1
2025-03-28T11:42:00Z,7ee232fa,5333662e,b8994569,3.5
2025-03-28T11:45:00Z,7ee232fa,5333662e,b8994569,97.2
2025-03-28T11:48:00Z,7ee232fa,5333662e,b8994569,1.39
2025-03-28T11:51:00Z,7ee232fa,5333662e,b8994569,12.18
2025-03-28T11:54:00Z,7ee232fa,5333662e,b8994569,2.95
2025-03-28T11:57:00Z,7ee232fa,5333662e,b8994569,22.17
2025-03-28T12:00:00Z,7ee232fa,5333662e,b8994569,6.67
2025-03-28T12:03:00Z,7ee232fa,5333662e,b8994569,73.29
2025-03-28T12:06:00Z,7ee232fa,5333662e,b8994569,87.16
2025-03-28T12:09:00Z,7ee232fa,5333662e,b8994569,87.88
2025-03-28T12:12:00Z,7ee232fa,5333662e,b8994569,88.01
2025-03-28T12:15:00Z,7ee232fa,5333662e,b8994569,88.44
2025-03-28T12:18:00Z,7ee232fa,5333662e,b8994569,88.31
2025-03-28T12:21:00Z,7ee232fa,5333662e,b8994569,88.23
2025-03-28T12:24:00Z,7ee232fa,5333662e,b8994569,88.03
2025-03-28T12:27:00Z,7ee232fa,5333662e,b8994569,87.81
2025-03-28T12:30:00Z,7ee232fa,5333662e,b8994569,88.48
2025-03-28T12:33:00Z,7ee232fa,5333662e,b8994569,87.5
2025-03-28T12:36:00Z,7ee232fa,5333662e,b8994569,87.33
2025-03-28T12:39:00Z,7ee232fa,5333662e,b8994569,87.61
2025-03-28T12:42:00Z,7ee232fa,5333662e,b8994569,87.41
2025-03-28T12:45:00Z,7ee232fa,5333662e,b8994569,87.42
2025-03-28T12:48:00Z,7ee232fa,5333662e,b8994569,88.06
2025-03-28T12:51:00Z,7ee232fa,5333662e,b8994569,87.72
2025-03-28T12:54:00Z,7ee232fa,5333662e,b8994569,87.83
2025-03-28T12:57:00Z,7ee232fa,5333662e,b8994569,87.82
2025-03-28T13:00:00Z,7ee232fa,5333662e,b8994569,88.09
2025-03-28T13:03:00Z,7ee232fa,5333662e,b8994569,88.32
2025-03-28T13:06:00Z,7ee232fa,5333662e,b8994569,87.92
2025-03-28T13:09:00Z,7ee232fa,5333662e,b8994569,87.89
2025-03-28T13:12:00Z,7ee232fa,5333662e,b8994569,88.88
2025-03-28T13:15:00Z,7ee232fa,5333662e,b8994569,88.59
2025-03-28T13:18:00Z,7ee232fa,5333662e,b8994569,88.67
2025-03-28T13:21:00Z,7ee232fa,5333662e,b8994569,88.55
2025-03-28T13:24:00Z,7ee232fa,5333662e,b8994569,88.62
2025-03-28T13:27:00Z,7ee232fa,5333662e,b8994569,88.66
2025-03-28T13:30:00Z,7ee232fa,5333662e,b8994569,88.17
2025-03-28T13:33:00Z,7ee232fa,5333662e,b8994569,88.25
2025-03-28T13:36:00Z,7ee232fa,5333662e,b8994569,88.55
2025-03-28T13:39:00Z,7ee232fa,5333662e,b8994569,88.41
2025-03-28T13:42:00Z,7ee232fa,5333662e,b8994569,88.49
2025-03-28T13:45:00Z,7ee232fa,5333662e,b8994569,88.75
2025-03-28T13:48:00Z,7ee232fa,5333662e,b8994569,88.67
2025-03-28T13:51:00Z,7ee232fa,5333662e,b8994569,88.26
2025-03-28T13:54:00Z,7ee232fa,5333662e,b8994569,88.93
2025-03-28T13:57:00Z,7ee232fa,5333662e,b8994569,88.83
2025-03-28T14:00:00Z,7ee232fa,5333662e,b8994569,88.68
2025-03-28T14:03:00Z,7ee232fa,5333662e,b8994569,88.48
2025-03-28T14:06:00Z,7ee232fa,5333662e,b8994569,88.62
2025-03-28T14:09:00Z,7ee232fa,5333662e,b8994569,88.8
2025-03-28T14:12:00Z,7ee232fa,5333662e,b8994569,88.86
2025-03-28T14:15:00Z,7ee232fa,5333662e,b8994569,88.51
2025-03-28T14:18:00Z,7ee232fa,5333662e,b8994569,88.84
2025-03-28T14:21:00Z,7ee232fa,5333662e,b8994569,88.67
2025-03-28T14:24:00Z,7ee232fa,5333662e,b8994569,89.1
2025-03-28T14:27:00Z,7ee232fa,5333662e,b8994569,88.31
2025-03-28T14:30:00Z,7ee232fa,5333662e,b8994569,87.0
2025-03-28T14:33:00Z,7ee232fa,5333662e,b8994569,87.4
2025-03-28T14:36:00Z,7ee232fa,5333662e,b8994569,87.86
2025-03-28T14:39:00Z,7ee232fa,5333662e,b8994569,87.52
2025-03-28T14:42:00Z,7ee232fa,5333662e,b8994569,87.48
2025-03-28T14:45:00Z,7ee232fa,5333662e,b8994569,88.93
2025-03-28T14:48:00Z,7ee232fa,5333662e,b8994569,89.08
2025-03-28T14:51:00Z,7ee232fa,5333662e,b8994569,87.26
2025-03-28T14:54:00Z,7ee232fa,5333662e,b8994569,89.33
2025-03-28T14:57:00Z,7ee232fa,5333662e,b8994569,90.86
2025-03-28T15:00:00Z,7ee232fa,5333662e,b8994569,92.9
2025-03-28T15:03:00Z,7ee232fa,5333662e,b8994569,94.78
2025-03-28T15:06:00Z,7ee232fa,5333662e,b8994569,92.57
2025-03-28T15:09:00Z,7ee232fa,5333662e,b8994569,92.06
2025-03-28T15:12:00Z,7ee232fa,5333662e,b8994569,93.34
2025-03-28T15:15:00Z,7ee232fa,5333662e,b8994569,94.17
2025-03-28T15:18:00Z,7ee232fa,5333662e,b8994569,92.07
2025-03-28T15:21:00Z,7ee232fa,5333662e,b8994569,90.53
2025-03-28T15:24:00Z,7ee232fa,5333662e,b8994569,92.29
2025-03-28T15:27:00Z,7ee232fa,5333662e,b8994569,106.31
2025-03-28T15:30:00Z,7ee232fa,5333662e,b8994569,142.09
2025-03-28T15:33:00Z,7ee232fa,5333662e,b8994569,169.93
2025-03-28T15:36:00Z,7ee232fa,5333662e,b8994569,174.0
2025-03-28T15:39:00Z,7ee232fa,5333662e,b8994569,176.25
2025-03-28T15:42:00Z,7ee232fa,5333662e,b8994569,167.58
