timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-01-16T08:30:00Z,a291c2d3,5333662e,b8994569,143.66
2025-01-16T08:33:00Z,a291c2d3,5333662e,b8994569,118.55
2025-01-16T08:36:00Z,a291c2d3,5333662e,b8994569,134.27
2025-01-16T08:39:00Z,a291c2d3,5333662e,b8994569,136.84
2025-01-16T08:42:00Z,a291c2d3,5333662e,b8994569,130.86
2025-01-16T08:45:00Z,a291c2d3,5333662e,b8994569,163.28
2025-01-16T08:48:00Z,a291c2d3,5333662e,b8994569,166.33
2025-01-16T08:51:00Z,a291c2d3,5333662e,b8994569,166.99
2025-01-16T08:54:00Z,a291c2d3,5333662e,b8994569,156.86
2025-01-16T08:57:00Z,a291c2d3,5333662e,b8994569,170.91
2025-01-16T09:00:00Z,a291c2d3,5333662e,b8994569,177.86
2025-01-16T09:03:00Z,a291c2d3,5333662e,b8994569,175.24
2025-01-16T09:06:00Z,a291c2d3,5333662e,b8994569,182.5
2025-01-16T09:09:00Z,a291c2d3,5333662e,b8994569,184.7
2025-01-16T09:12:00Z,a291c2d3,5333662e,b8994569,185.06
2025-01-16T09:15:00Z,a291c2d3,5333662e,b8994569,182.23
2025-01-16T09:18:00Z,a291c2d3,5333662e,b8994569,168.58
2025-01-16T09:21:00Z,a291c2d3,5333662e,b8994569,168.01
2025-01-16T09:24:00Z,a291c2d3,5333662e,b8994569,169.65
2025-01-16T09:27:00Z,a291c2d3,5333662e,b8994569,169.72
2025-01-16T09:30:00Z,a291c2d3,5333662e,b8994569,170.21
2025-01-16T09:33:00Z,a291c2d3,5333662e,b8994569,178.66
2025-01-16T09:36:00Z,a291c2d3,5333662e,b8994569,177.01
2025-01-16T09:39:00Z,a291c2d3,5333662e,b8994569,171.39
2025-01-16T09:42:00Z,a291c2d3,5333662e,b8994569,166.72
2025-01-16T09:45:00Z,a291c2d3,5333662e,b8994569,174.69
2025-01-16T09:48:00Z,a291c2d3,5333662e,b8994569,164.75
2025-01-16T09:51:00Z,a291c2d3,5333662e,b8994569,146.81
2025-01-16T09:54:00Z,a291c2d3,5333662e,b8994569,158.36
2025-01-16T09:57:00Z,a291c2d3,5333662e,b8994569,167.31
2025-01-16T10:00:00Z,a291c2d3,5333662e,b8994569,164.49
2025-01-16T10:03:00Z,a291c2d3,5333662e,b8994569,169.52
2025-01-16T10:06:00Z,a291c2d3,5333662e,b8994569,172.7
2025-01-16T10:09:00Z,a291c2d3,5333662e,b8994569,175.56
2025-01-16T10:12:00Z,a291c2d3,5333662e,b8994569,182.04
2025-01-16T10:15:00Z,a291c2d3,5333662e,b8994569,179.58
2025-01-16T10:18:00Z,a291c2d3,5333662e,b8994569,175.9
2025-01-16T10:21:00Z,a291c2d3,5333662e,b8994569,157.98
2025-01-16T10:24:00Z,a291c2d3,5333662e,b8994569,163.91
2025-01-16T10:27:00Z,a291c2d3,5333662e,b8994569,167.81
2025-01-16T10:30:00Z,a291c2d3,5333662e,b8994569,170.02
2025-01-16T10:33:00Z,a291c2d3,5333662e,b8994569,168.34
2025-01-16T10:36:00Z,a291c2d3,5333662e,b8994569,163.93
2025-01-16T10:39:00Z,a291c2d3,5333662e,b8994569,163.26
2025-01-16T10:42:00Z,a291c2d3,5333662e,b8994569,184.15
2025-01-16T10:45:00Z,a291c2d3,5333662e,b8994569,165.55
2025-01-16T10:48:00Z,a291c2d3,5333662e,b8994569,165.57
2025-01-16T10:51:00Z,a291c2d3,5333662e,b8994569,160.67
2025-01-16T10:54:00Z,a291c2d3,5333662e,b8994569,169.59
2025-01-16T10:57:00Z,a291c2d3,5333662e,b8994569,164.25
2025-01-16T11:00:00Z,a291c2d3,5333662e,b8994569,168.03
2025-01-16T11:03:00Z,a291c2d3,5333662e,b8994569,159.74
2025-01-16T11:06:00Z,a291c2d3,5333662e,b8994569,165.62
2025-01-16T11:09:00Z,a291c2d3,5333662e,b8994569,180.99
2025-01-16T11:12:00Z,a291c2d3,5333662e,b8994569,181.52
2025-01-16T11:15:00Z,a291c2d3,5333662e,b8994569,172.81
2025-01-16T11:18:00Z,a291c2d3,5333662e,b8994569,150.53
2025-01-16T11:21:00Z,a291c2d3,5333662e,b8994569,161.5
2025-01-16T11:24:00Z,a291c2d3,5333662e,b8994569,170.84
2025-01-16T11:27:00Z,a291c2d3,5333662e,b8994569,164.21
2025-01-16T11:30:00Z,a291c2d3,5333662e,b8994569,158.13
2025-01-16T11:33:00Z,a291c2d3,5333662e,b8994569,161.32
2025-01-16T11:36:00Z,a291c2d3,5333662e,b8994569,159.88
2025-01-16T11:39:00Z,a291c2d3,5333662e,b8994569,163.51
2025-01-16T11:42:00Z,a291c2d3,5333662e,b8994569,161.83
2025-01-16T11:45:00Z,a291c2d3,5333662e,b8994569,164.85
2025-01-16T11:48:00Z,a291c2d3,5333662e,b8994569,164.61
2025-01-16T11:51:00Z,a291c2d3,5333662e,b8994569,168.09
2025-01-16T11:54:00Z,a291c2d3,5333662e,b8994569,155.87
2025-01-16T11:57:00Z,a291c2d3,5333662e,b8994569,163.87
2025-01-16T12:00:00Z,a291c2d3,5333662e,b8994569,166.75
2025-01-16T12:03:00Z,a291c2d3,5333662e,b8994569,164.89
2025-01-16T12:06:00Z,a291c2d3,5333662e,b8994569,167.53
2025-01-16T12:09:00Z,a291c2d3,5333662e,b8994569,173.75
2025-01-16T12:12:00Z,a291c2d3,5333662e,b8994569,165.11
2025-01-16T12:15:00Z,a291c2d3,5333662e,b8994569,157.12
2025-01-16T12:18:00Z,a291c2d3,5333662e,b8994569,150.33
2025-01-16T12:21:00Z,a291c2d3,5333662e,b8994569,154.33
2025-01-16T12:24:00Z,a291c2d3,5333662e,b8994569,156.33
2025-01-16T12:27:00Z,a291c2d3,5333662e,b8994569,156.06
2025-01-16T12:30:00Z,a291c2d3,5333662e,b8994569,157.43
2025-01-16T12:33:00Z,a291c2d3,5333662e,b8994569,154.92
2025-01-16T12:36:00Z,a291c2d3,5333662e,b8994569,156.59
2025-01-16T12:39:00Z,a291c2d3,5333662e,b8994569,154.88
2025-01-16T12:42:00Z,a291c2d3,5333662e,b8994569,159.7
2025-01-16T12:45:00Z,a291c2d3,5333662e,b8994569,155.71
2025-01-16T12:48:00Z,a291c2d3,5333662e,b8994569,150.64
2025-01-16T12:51:00Z,a291c2d3,5333662e,b8994569,154.03
2025-01-16T12:54:00Z,a291c2d3,5333662e,b8994569,176.17
2025-01-16T12:57:00Z,a291c2d3,5333662e,b8994569,152.56
2025-01-16T13:00:00Z,a291c2d3,5333662e,b8994569,155.84
2025-01-16T13:03:00Z,a291c2d3,5333662e,b8994569,158.78
2025-01-16T13:06:00Z,a291c2d3,5333662e,b8994569,164.09
2025-01-16T13:09:00Z,a291c2d3,5333662e,b8994569,164.06
2025-01-16T13:12:00Z,a291c2d3,5333662e,b8994569,164.76
2025-01-16T13:15:00Z,a291c2d3,5333662e,b8994569,167.76
2025-01-16T13:18:00Z,a291c2d3,5333662e,b8994569,165.43
2025-01-16T13:21:00Z,a291c2d3,5333662e,b8994569,152.1
2025-01-16T13:24:00Z,a291c2d3,5333662e,b8994569,138.91
2025-01-16T13:27:00Z,a291c2d3,5333662e,b8994569,136.43
2025-01-16T13:30:00Z,a291c2d3,5333662e,b8994569,150.74
2025-01-16T13:33:00Z,a291c2d3,5333662e,b8994569,196.44
2025-01-16T13:36:00Z,a291c2d3,5333662e,b8994569,210.4
2025-01-16T13:39:00Z,a291c2d3,5333662e,b8994569,201.6
2025-01-16T13:42:00Z,a291c2d3,5333662e,b8994569,201.87
2025-01-16T13:45:00Z,a291c2d3,5333662e,b8994569,207.15
2025-01-16T13:48:00Z,a291c2d3,5333662e,b8994569,208.35
2025-01-16T13:51:00Z,a291c2d3,5333662e,b8994569,195.1
2025-01-16T13:54:00Z,a291c2d3,5333662e,b8994569,197.49
2025-01-16T13:57:00Z,a291c2d3,5333662e,b8994569,196.15
2025-01-16T14:00:00Z,a291c2d3,5333662e,b8994569,193.11
2025-01-16T14:03:00Z,a291c2d3,5333662e,b8994569,195.34
2025-01-16T14:06:00Z,a291c2d3,5333662e,b8994569,198.5
2025-01-16T14:09:00Z,a291c2d3,5333662e,b8994569,198.6
2025-01-16T14:12:00Z,a291c2d3,5333662e,b8994569,195.18
2025-01-16T14:15:00Z,a291c2d3,5333662e,b8994569,191.51
2025-01-16T14:18:00Z,a291c2d3,5333662e,b8994569,194.87
2025-01-16T14:21:00Z,a291c2d3,5333662e,b8994569,196.22
2025-01-16T14:24:00Z,a291c2d3,5333662e,b8994569,195.58
2025-01-16T14:27:00Z,a291c2d3,5333662e,b8994569,188.26
2025-01-16T14:30:00Z,a291c2d3,5333662e,b8994569,169.27
2025-01-16T14:33:00Z,a291c2d3,5333662e,b8994569,162.19
2025-01-16T14:36:00Z,a291c2d3,5333662e,b8994569,161.41
2025-01-16T14:39:00Z,a291c2d3,5333662e,b8994569,165.42
2025-01-16T14:42:00Z,a291c2d3,5333662e,b8994569,163.54
2025-01-16T14:45:00Z,a291c2d3,5333662e,b8994569,167.3
2025-01-16T14:48:00Z,a291c2d3,5333662e,b8994569,172.29
2025-01-16T14:51:00Z,a291c2d3,5333662e,b8994569,167.2
2025-01-16T14:54:00Z,a291c2d3,5333662e,b8994569,157.2
