timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-28T10:30:00Z,d961c268,b9c737a2,b8994569,0.02
2025-03-28T10:33:00Z,d961c268,b9c737a2,b8994569,0.48
2025-03-28T10:36:00Z,d961c268,b9c737a2,b8994569,0.42
2025-03-28T10:39:00Z,d961c268,b9c737a2,b8994569,0.03
2025-03-28T10:42:00Z,d961c268,b9c737a2,b8994569,0.03
2025-03-28T10:45:00Z,d961c268,b9c737a2,b8994569,3.15
2025-03-28T10:48:00Z,d961c268,b9c737a2,b8994569,16.11
2025-03-28T10:51:00Z,d961c268,b9c737a2,b8994569,118.6
2025-03-28T10:54:00Z,d961c268,b9c737a2,b8994569,87.5
2025-03-28T10:57:00Z,d961c268,b9c737a2,b8994569,223.26
2025-03-28T11:00:00Z,d961c268,b9c737a2,b8994569,262.84
2025-03-28T11:03:00Z,d961c268,b9c737a2,b8994569,265.24
2025-03-28T11:06:00Z,d961c268,b9c737a2,b8994569,262.8
2025-03-28T11:09:00Z,d961c268,b9c737a2,b8994569,258.45
2025-03-28T11:12:00Z,d961c268,b9c737a2,b8994569,266.84
2025-03-28T11:15:00Z,d961c268,b9c737a2,b8994569,264.42
2025-03-28T11:18:00Z,d961c268,b9c737a2,b8994569,265.94
2025-03-28T11:21:00Z,d961c268,b9c737a2,b8994569,266.88
2025-03-28T11:24:00Z,d961c268,b9c737a2,b8994569,267.55
2025-03-28T11:27:00Z,d961c268,b9c737a2,b8994569,253.67
2025-03-28T11:30:00Z,d961c268,b9c737a2,b8994569,135.53
2025-03-28T11:33:00Z,d961c268,b9c737a2,b8994569,179.23
2025-03-28T11:36:00Z,d961c268,b9c737a2,b8994569,247.04
2025-03-28T11:39:00Z,d961c268,b9c737a2,b8994569,272.16
2025-03-28T11:42:00Z,d961c268,b9c737a2,b8994569,272.64
2025-03-28T11:45:00Z,d961c268,b9c737a2,b8994569,268.43
2025-03-28T11:48:00Z,d961c268,b9c737a2,b8994569,275.4
2025-03-28T11:51:00Z,d961c268,b9c737a2,b8994569,272.65
2025-03-28T11:54:00Z,d961c268,b9c737a2,b8994569,273.14
2025-03-28T11:57:00Z,d961c268,b9c737a2,b8994569,276.93
2025-03-28T12:00:00Z,d961c268,b9c737a2,b8994569,225.54
2025-03-28T12:03:00Z,d961c268,b9c737a2,b8994569,152.07
2025-03-28T12:06:00Z,d961c268,b9c737a2,b8994569,92.8
2025-03-28T12:09:00Z,d961c268,b9c737a2,b8994569,94.14
2025-03-28T12:12:00Z,d961c268,b9c737a2,b8994569,99.89
2025-03-28T12:15:00Z,d961c268,b9c737a2,b8994569,103.52
2025-03-28T12:18:00Z,d961c268,b9c737a2,b8994569,104.75
2025-03-28T12:21:00Z,d961c268,b9c737a2,b8994569,100.37
2025-03-28T12:24:00Z,d961c268,b9c737a2,b8994569,100.01
2025-03-28T12:27:00Z,d961c268,b9c737a2,b8994569,100.44
2025-03-28T12:30:00Z,d961c268,b9c737a2,b8994569,104.37
2025-03-28T12:33:00Z,d961c268,b9c737a2,b8994569,107.53
2025-03-28T12:36:00Z,d961c268,b9c737a2,b8994569,104.28
2025-03-28T12:39:00Z,d961c268,b9c737a2,b8994569,105.09
2025-03-28T12:42:00Z,d961c268,b9c737a2,b8994569,108.86
2025-03-28T12:45:00Z,d961c268,b9c737a2,b8994569,112.34
2025-03-28T12:48:00Z,d961c268,b9c737a2,b8994569,113.68
2025-03-28T12:51:00Z,d961c268,b9c737a2,b8994569,112.18
2025-03-28T12:54:00Z,d961c268,b9c737a2,b8994569,113.84
2025-03-28T12:57:00Z,d961c268,b9c737a2,b8994569,112.75
2025-03-28T13:00:00Z,d961c268,b9c737a2,b8994569,109.14
2025-03-28T13:03:00Z,d961c268,b9c737a2,b8994569,108.19
2025-03-28T13:06:00Z,d961c268,b9c737a2,b8994569,105.34
2025-03-28T13:09:00Z,d961c268,b9c737a2,b8994569,106.47
2025-03-28T13:12:00Z,d961c268,b9c737a2,b8994569,109.03
2025-03-28T13:15:00Z,d961c268,b9c737a2,b8994569,109.3
2025-03-28T13:18:00Z,d961c268,b9c737a2,b8994569,112.53
2025-03-28T13:21:00Z,d961c268,b9c737a2,b8994569,112.27
2025-03-28T13:24:00Z,d961c268,b9c737a2,b8994569,113.84
2025-03-28T13:27:00Z,d961c268,b9c737a2,b8994569,113.62
2025-03-28T13:30:00Z,d961c268,b9c737a2,b8994569,111.57
2025-03-28T13:33:00Z,d961c268,b9c737a2,b8994569,109.74
2025-03-28T13:36:00Z,d961c268,b9c737a2,b8994569,109.8
2025-03-28T13:39:00Z,d961c268,b9c737a2,b8994569,111.37
2025-03-28T13:42:00Z,d961c268,b9c737a2,b8994569,113.12
2025-03-28T13:45:00Z,d961c268,b9c737a2,b8994569,113.84
2025-03-28T13:48:00Z,d961c268,b9c737a2,b8994569,113.23
2025-03-28T13:51:00Z,d961c268,b9c737a2,b8994569,114.28
2025-03-28T13:54:00Z,d961c268,b9c737a2,b8994569,113.0
2025-03-28T13:57:00Z,d961c268,b9c737a2,b8994569,113.36
2025-03-28T14:00:00Z,d961c268,b9c737a2,b8994569,111.15
2025-03-28T14:03:00Z,d961c268,b9c737a2,b8994569,109.95
2025-03-28T14:06:00Z,d961c268,b9c737a2,b8994569,112.49
2025-03-28T14:09:00Z,d961c268,b9c737a2,b8994569,113.18
2025-03-28T14:12:00Z,d961c268,b9c737a2,b8994569,112.4
2025-03-28T14:15:00Z,d961c268,b9c737a2,b8994569,109.82
2025-03-28T14:18:00Z,d961c268,b9c737a2,b8994569,104.65
2025-03-28T14:21:00Z,d961c268,b9c737a2,b8994569,108.09
2025-03-28T14:24:00Z,d961c268,b9c737a2,b8994569,108.01
2025-03-28T14:27:00Z,d961c268,b9c737a2,b8994569,104.93
2025-03-28T14:30:00Z,d961c268,b9c737a2,b8994569,107.72
2025-03-28T14:33:00Z,d961c268,b9c737a2,b8994569,111.33
2025-03-28T14:36:00Z,d961c268,b9c737a2,b8994569,112.79
2025-03-28T14:39:00Z,d961c268,b9c737a2,b8994569,112.15
2025-03-28T14:42:00Z,d961c268,b9c737a2,b8994569,109.44
2025-03-28T14:45:00Z,d961c268,b9c737a2,b8994569,108.74
2025-03-28T14:48:00Z,d961c268,b9c737a2,b8994569,108.47
2025-03-28T14:51:00Z,d961c268,b9c737a2,b8994569,105.3
2025-03-28T14:54:00Z,d961c268,b9c737a2,b8994569,107.72
2025-03-28T14:57:00Z,d961c268,b9c737a2,b8994569,110.07
2025-03-28T15:00:00Z,d961c268,b9c737a2,b8994569,116.54
2025-03-28T15:03:00Z,d961c268,b9c737a2,b8994569,116.12
2025-03-28T15:06:00Z,d961c268,b9c737a2,b8994569,114.56
2025-03-28T15:09:00Z,d961c268,b9c737a2,b8994569,118.4
2025-03-28T15:12:00Z,d961c268,b9c737a2,b8994569,118.64
2025-03-28T15:15:00Z,d961c268,b9c737a2,b8994569,115.32
2025-03-28T15:18:00Z,d961c268,b9c737a2,b8994569,115.0
2025-03-28T15:21:00Z,d961c268,b9c737a2,b8994569,120.25
2025-03-28T15:24:00Z,d961c268,b9c737a2,b8994569,118.88
2025-03-28T15:27:00Z,d961c268,b9c737a2,b8994569,139.49
2025-03-28T15:30:00Z,d961c268,b9c737a2,b8994569,167.97
2025-03-28T15:33:00Z,d961c268,b9c737a2,b8994569,172.32
2025-03-28T15:36:00Z,d961c268,b9c737a2,b8994569,170.08
2025-03-28T15:39:00Z,d961c268,b9c737a2,b8994569,170.35
2025-03-28T15:42:00Z,d961c268,b9c737a2,b8994569,173.39
2025-03-28T15:45:00Z,d961c268,b9c737a2,b8994569,177.49
2025-03-28T15:48:00Z,d961c268,b9c737a2,b8994569,178.8
2025-03-28T15:51:00Z,d961c268,b9c737a2,b8994569,173.16
2025-03-28T15:54:00Z,d961c268,b9c737a2,b8994569,174.95
2025-03-28T15:57:00Z,d961c268,b9c737a2,b8994569,181.93
2025-03-28T16:00:00Z,d961c268,b9c737a2,b8994569,178.47
2025-03-28T16:03:00Z,d961c268,b9c737a2,b8994569,180.19
2025-03-28T16:06:00Z,d961c268,b9c737a2,b8994569,180.86
2025-03-28T16:09:00Z,d961c268,b9c737a2,b8994569,184.41
2025-03-28T16:12:00Z,d961c268,b9c737a2,b8994569,182.79
2025-03-28T16:15:00Z,d961c268,b9c737a2,b8994569,183.96
2025-03-28T16:18:00Z,d961c268,b9c737a2,b8994569,185.6
2025-03-28T16:21:00Z,d961c268,b9c737a2,b8994569,182.18
2025-03-28T16:24:00Z,d961c268,b9c737a2,b8994569,176.47
2025-03-28T16:27:00Z,d961c268,b9c737a2,b8994569,175.49
2025-03-28T16:30:00Z,d961c268,b9c737a2,b8994569,175.29
2025-03-28T16:33:00Z,d961c268,b9c737a2,b8994569,175.33
2025-03-28T16:36:00Z,d961c268,b9c737a2,b8994569,175.62
2025-03-28T16:39:00Z,d961c268,b9c737a2,b8994569,177.77
2025-03-28T16:42:00Z,d961c268,b9c737a2,b8994569,173.65
2025-03-28T16:45:00Z,d961c268,b9c737a2,b8994569,171.08
2025-03-28T16:48:00Z,d961c268,b9c737a2,b8994569,156.19
2025-03-28T16:51:00Z,d961c268,b9c737a2,b8994569,122.66
2025-03-28T16:54:00Z,d961c268,b9c737a2,b8994569,123.97
2025-03-28T16:57:00Z,d961c268,b9c737a2,b8994569,103.42
2025-03-28T17:00:00Z,d961c268,b9c737a2,b8994569,104.93
2025-03-28T17:03:00Z,d961c268,b9c737a2,b8994569,105.15
2025-03-28T17:06:00Z,d961c268,b9c737a2,b8994569,103.67
2025-03-28T17:09:00Z,d961c268,b9c737a2,b8994569,106.48
2025-03-28T17:12:00Z,d961c268,b9c737a2,b8994569,104.78
2025-03-28T17:15:00Z,d961c268,b9c737a2,b8994569,103.79
2025-03-28T17:18:00Z,d961c268,b9c737a2,b8994569,104.97
2025-03-28T17:21:00Z,d961c268,b9c737a2,b8994569,104.43
2025-03-28T17:24:00Z,d961c268,b9c737a2,b8994569,100.48
2025-03-28T17:27:00Z,d961c268,b9c737a2,b8994569,100.9
2025-03-28T17:30:00Z,d961c268,b9c737a2,b8994569,100.25
2025-03-28T17:33:00Z,d961c268,b9c737a2,b8994569,102.15
2025-03-28T17:36:00Z,d961c268,b9c737a2,b8994569,105.5
2025-03-28T17:39:00Z,d961c268,b9c737a2,b8994569,105.39
2025-03-28T17:42:00Z,d961c268,b9c737a2,b8994569,105.17
2025-03-28T17:45:00Z,d961c268,b9c737a2,b8994569,107.64
2025-03-28T17:48:00Z,d961c268,b9c737a2,b8994569,108.54
2025-03-28T17:51:00Z,d961c268,b9c737a2,b8994569,105.79
2025-03-28T17:54:00Z,d961c268,b9c737a2,b8994569,107.78
2025-03-28T17:57:00Z,d961c268,b9c737a2,b8994569,109.23
2025-03-28T18:00:00Z,d961c268,b9c737a2,b8994569,107.5
2025-03-28T18:03:00Z,d961c268,b9c737a2,b8994569,105.67
2025-03-28T18:06:00Z,d961c268,b9c737a2,b8994569,104.35
2025-03-28T18:09:00Z,d961c268,b9c737a2,b8994569,105.4
2025-03-28T18:12:00Z,d961c268,b9c737a2,b8994569,100.92
2025-03-28T18:15:00Z,d961c268,b9c737a2,b8994569,105.89
2025-03-28T18:18:00Z,d961c268,b9c737a2,b8994569,102.53
2025-03-28T18:21:00Z,d961c268,b9c737a2,b8994569,112.68
2025-03-28T18:24:00Z,d961c268,b9c737a2,b8994569,105.71
2025-03-28T18:27:00Z,d961c268,b9c737a2,b8994569,102.45
2025-03-28T18:30:00Z,d961c268,b9c737a2,b8994569,106.35
2025-03-28T18:33:00Z,d961c268,b9c737a2,b8994569,106.68
2025-03-28T18:36:00Z,d961c268,b9c737a2,b8994569,108.66
2025-03-28T18:39:00Z,d961c268,b9c737a2,b8994569,108.76
2025-03-28T18:42:00Z,d961c268,b9c737a2,b8994569,109.36
2025-03-28T18:45:00Z,d961c268,b9c737a2,b8994569,107.88
2025-03-28T18:48:00Z,d961c268,b9c737a2,b8994569,105.17
2025-03-28T18:51:00Z,d961c268,b9c737a2,b8994569,104.82
2025-03-28T18:54:00Z,d961c268,b9c737a2,b8994569,104.87
2025-03-28T18:57:00Z,d961c268,b9c737a2,b8994569,101.2
2025-03-28T19:00:00Z,d961c268,b9c737a2,b8994569,96.93
2025-03-28T19:03:00Z,d961c268,b9c737a2,b8994569,96.52
2025-03-28T19:06:00Z,d961c268,b9c737a2,b8994569,92.31
2025-03-28T19:09:00Z,d961c268,b9c737a2,b8994569,85.62
2025-03-28T19:12:00Z,d961c268,b9c737a2,b8994569,74.81
2025-03-28T19:15:00Z,d961c268,b9c737a2,b8994569,70.56
2025-03-28T19:18:00Z,d961c268,b9c737a2,b8994569,81.59
2025-03-28T19:21:00Z,d961c268,b9c737a2,b8994569,99.69
2025-03-28T19:24:00Z,d961c268,b9c737a2,b8994569,100.01
2025-03-28T19:27:00Z,d961c268,b9c737a2,b8994569,100.04
2025-03-28T19:30:00Z,d961c268,b9c737a2,b8994569,99.92
2025-03-28T19:33:00Z,d961c268,b9c737a2,b8994569,99.83
2025-03-28T19:36:00Z,d961c268,b9c737a2,b8994569,100.52
2025-03-28T19:39:00Z,d961c268,b9c737a2,b8994569,99.69
2025-03-28T19:42:00Z,d961c268,b9c737a2,b8994569,99.95
2025-03-28T19:45:00Z,d961c268,b9c737a2,b8994569,100.65
2025-03-28T19:48:00Z,d961c268,b9c737a2,b8994569,101.17
2025-03-28T19:51:00Z,d961c268,b9c737a2,b8994569,99.95
2025-03-28T19:54:00Z,d961c268,b9c737a2,b8994569,100.33
2025-03-28T19:57:00Z,d961c268,b9c737a2,b8994569,99.93
2025-03-28T20:00:00Z,d961c268,b9c737a2,b8994569,100.5
2025-03-28T20:03:00Z,d961c268,b9c737a2,b8994569,101.68
2025-03-28T20:06:00Z,d961c268,b9c737a2,b8994569,100.43
2025-03-28T20:09:00Z,d961c268,b9c737a2,b8994569,99.87
2025-03-28T20:12:00Z,d961c268,b9c737a2,b8994569,99.4
