timestamp,vm_id,hypervisor_name,hypervisor_group,scaphandre_vm_power_total_watts
2025-03-19T11:27:00Z,d050c9b7,bce59923,b8994569,2.86
2025-03-19T11:30:00Z,d050c9b7,bce59923,b8994569,0.03
2025-03-19T11:33:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:36:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:39:00Z,d050c9b7,bce59923,b8994569,0.04
2025-03-19T11:42:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:45:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:48:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:51:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:54:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T11:57:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:00:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:03:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:06:00Z,d050c9b7,bce59923,b8994569,0.01
2025-03-19T12:09:00Z,d050c9b7,bce59923,b8994569,0.01
2025-03-19T12:12:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:15:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:18:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:21:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:24:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:27:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:30:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:33:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:36:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:39:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:42:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:45:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:48:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:51:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:54:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T12:57:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:00:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:03:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:06:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:09:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:12:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:15:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:18:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:21:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:24:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:27:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:30:00Z,d050c9b7,bce59923,b8994569,0.02
2025-03-19T13:33:00Z,d050c9b7,bce59923,b8994569,0.02
